id,start_pos,end_pos,surface,type,value,has_nested,is_nested
0,9,21,Pope Clement,PER,Q83159,,
0,46,56,Buonarroti,PER,Q5592,,
0,110,118,sacristy,LOC,Q660876,,
0,346,365,Fra Giovanni Agnolo,PER,Q27040,,
0,417,437,Antonio da San Gallo,PER,Q357276,,
0,485,491,Loreto,LOC,Q124110,,True
0,532,537,Frate,PER,Q27040;Q548320,,
0,610,623,Duke Giuliano,PER,Q298877,,
0,638,643,Frate,PER,Q27040;Q548320,,
0,737,756,Fra Giovanni Agnolo,PER,Q27040,,
0,980,989,S. Cosimo,PER,Q11841156,,
0,996,1006,S. Damiano,PER,Q11841130,,
0,1049,1056,Madonna,PER,Q345,,
0,1084,1094,S. Damiano,PER,Q11841130,,
0,1144,1149,Frate,PER,Q27040;Q548320,,
0,1154,1163,S. Cosimo,PER,Q11841156,,
0,1347,1352,Frate,PER,Q27040;Q548320,,
0,1410,1420,Buonarroti,PER,Q5592,,
0,1901,1906,Frate,PER,Q27040;Q548320,,
0,1966,1985,Fra Giovanni Agnolo,PER,Q27040,,
0,2038,2051,Duke Giuliano,PER,Q298877,,
0,2254,2266,Pope Clement,PER,Q83159,,
0,2336,2341,Frate,PER,Q27040;Q548320,,
0,2610,2629,Fra Giovanni Agnolo,PER,Q27040,,
1,847,861,Maestro Andrea,PER,Q601850,,
1,1218,1227,S. Pietro,LOC,Q12512,,
1,1761,1775,Il  Volterrano,PER,Q3417362,,
2,399,412,three Consuls,ORG,Q736727,,
2,512,521,Consulate,LOC,Q736727,,
2,527,540,Customs-house,LOC,Q218653,,
3,100,119,Vescovado of Arezzo,LOC,Q314932,,
3,704,708,Nine,ORG,Q736727,,
3,753,775,Palace in Malborghetto,LOC,Q1190961,True,
3,983,988,State,ORG,Q736727,,
3,1335,1351,Porta S. Martino,LOC,Q2104857,,
3,1377,1389,Porta a Tufi,LOC,Q3908860,,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,,
3,1672,1679,Tolomei,PER,Q3992417,,
3,1795,1803,S. Maria,LOC,Q10924,,
4,180,214,Michelagnolo di Viviano of Gaiuole,PER,Q3856430,True,
4,196,214,Viviano of Gaiuole,PER,Q15614943,True,True
4,207,214,Gaiuole,LOC,Q91199,,True
4,364,376,Michelagnolo,PER,Q3856430,,
4,864,882,Piazza di S. Croce,LOC,Q51177,,
