id,start_pos,end_pos,type,alias,wb_id,score
0,14,21,PER,Pope Clement I >> en,Q42887,-0.3103174865245819
0,46,56,PER,Buonarroti >> en,Q21507056,-0.8805691003799438
0,74,82,LOC,Florence >> en,Q2044,-0.1770552694797516
0,134,144,LOC,"San Lorenzo, Florence >> en",Q573881,0.10054326057434082
0,225,245,MISC,Michelangelo >> en,Q5592,-1.609787940979004
0,346,365,PER,Fra Giovanni da Fiesole >> en,Q5664,-3.248030185699463
0,417,437,PER,Antonio da Sangallo the Elder >> en,Q456861,-0.4864148795604706
0,474,481,MISC,Madonna (art) >> en,Q926743,-0.2900327444076538
0,482,491,LOC,Basilica della Santa Casa >> en,Q654996,-0.22208905220031738
0,532,535,PER,Friar >> en,Q548320,-0.3935702443122864
0,541,549,LOC,Florence >> en,Q2044,-0.1768215000629425
0,551,563,PER,Michelangelo >> en,Q5592,-0.7984628677368164
0,598,605,PER,Lorenzo de' Medici >> en,Q177854,-0.210553377866745
0,615,623,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.936953604221344
0,638,643,PER,Fra >> en,Q548320,-1.9388271570205688
0,737,756,PER,Fra Giovanni da Fiesole >> en,Q5664,-3.102276563644409
0,980,982,LOC,Saints Cosmas and Damian >> en,Q76486,-0.997672438621521
0,983,989,PER,Cosimo >> en,Q1136046,-0.9139036536216736
0,996,1006,LOC,Saints Cosmas and Damian >> en,Q76486,-0.7917906045913696
0,1049,1056,PER,Madonna (art) >> en,Q926743,-0.28726711869239807
0,1062,1074,PER,Michelangelo >> en,Q5592,-0.7197552919387817
0,1084,1094,LOC,Saints Cosmas and Damian >> en,Q76486,-0.6557396650314331
0,1098,1120,PER,Raffaello da Montelupo >> en,Q1370859,0.202239990234375
0,1144,1149,PER,Friar >> en,Q548320,-2.7988908290863037
0,1154,1163,PER,Cosmas and Damian >> en,Q76486,-1.6670244932174683
0,1347,1352,PER,Santa Maria della Concezione dei Cappuccini >> en,Q546141,-2.15998911857605
0,1410,1420,PER,Michelangelo Buonarroti >> en,Q5592,-0.8575815558433533
0,1444,1456,PER,Michelangelo >> en,Q5592,-0.6327847242355347
0,1528,1534,LOC,Arezzo >> en,Q13378,-0.23349182307720184
0,1544,1550,PER,Giorgio Vasari >> en,Q128027,-0.0629882961511612
0,1663,1675,PER,Michelangelo >> en,Q5592,-0.8821539878845215
0,1845,1857,PER,Michelangelo >> en,Q5592,-0.8437991738319397
0,1901,1906,PER,"San Lorenzo, Florence >> en",Q573881,-1.6886433362960815
0,1929,1941,PER,Michelangelo >> en,Q5592,-0.8625738024711609
0,1966,1985,PER,Agnolo Bronzino >> en,Q7803,-2.2245514392852783
0,2043,2051,PER,"Giuliano de' Medici, Duke of Nemours >> en",Q333340,-0.6688176989555359
0,2061,2068,PER,Lorenzo de' Medici >> en,Q177854,-0.2144637107849121
0,2180,2190,LOC,"San Lorenzo, Florence >> en",Q573881,-0.07209482789039612
0,2203,2207,LOC,Rome >> en,Q220,-0.2182513028383255
0,2259,2266,PER,Pope Clement I >> en,Q42887,-0.41384994983673096
0,2309,2317,LOC,Florence >> en,Q2044,-0.1657068133354187
0,2336,2341,PER,Santa Maria in Trastevere >> en,Q1137391,-2.4953413009643555
0,2530,2542,PER,Michelangelo >> en,Q5592,-0.9266331195831299
0,2610,2629,PER,Agnolo Bronzino >> en,Q7803,-2.4500043392181396
1,7,23,PER,Michelangelo >> en,Q5592,-1.491850733757019
1,27,37,LOC,Poggibonsi >> en,Q91350,-3.476853370666504
1,57,67,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.2130589485168457
1,103,111,LOC,Florence >> en,Q2044,-0.15270401537418365
1,127,134,LOC,Bologna >> en,Q1891,-0.14188605546951294
1,244,250,PER,Agnolo >> en,Q2826951,-1.5172741413116455
1,474,481,LOC,Fiesole >> en,Q82670,-0.1954609900712967
1,502,512,LOC,Монторзоли (Фиренца) >> sr,Q3862501,-1.3278069496154785
1,514,520,PER,Agnolo >> en,Q2826951,-1.323051929473877
1,586,605,PER,Francesco del Tadda >> it,Q3750862,-1.2860792875289917
1,822,841,PER,Francesco del Tadda >> it,Q3750862,-1.4357893466949463
1,847,861,PER,Andrea del Sarto >> en,Q5571,-1.6850603818893433
1,877,884,LOC,Fiesole >> en,Q82670,-0.1963338404893875
1,1081,1088,PER,Michele Sanmichele >> en,Q459937,-3.9764249324798584
1,1101,1107,PER,Agnolo Bronzino >> en,Q7803,-0.9433109760284424
1,1162,1166,LOC,Rome >> en,Q220,-0.21838949620723724
1,1218,1227,LOC,St. Peter's Basilica >> en,Q12512,0.00262451171875
1,1410,1414,LOC,Rome >> en,Q220,-0.2185552567243576
1,1453,1460,LOC,Perugia >> en,Q3437,-0.1972280740737915
1,1584,1591,LOC,Perugia >> en,Q3437,-0.19300025701522827
1,1736,1752,PER,Raffaello Maffei >> en,Q3417362,0.17106476426124573
1,1761,1775,LOC,Volterrano >> en,Q2403504,-0.007820606231689453
1,1780,1788,LOC,Volterra >> en,Q103305,-0.17582744359970093
2,69,77,PER,Giovanni Pisano >> en,Q314932,-0.9488866925239563
2,82,89,PER,Niccola Pisano >> en,Q364413,-1.364295482635498
2,93,97,LOC,Pisa >> en,Q13375,-0.18013370037078857
2,99,107,PER,Agostino da Siena >> en,Q395759,-0.18245989084243774
2,112,118,PER,Agnolo Bronzino >> en,Q7803,-1.2093371152877808
2,133,138,LOC,Siena >> en,Q2751,-0.19295935332775116
2,185,189,MISC,Life >> en,Q3,-0.6292247176170349
2,301,306,LOC,Siena >> en,Q2751,-0.18950802087783813
2,445,456,LOC,"Fontebranda, Siena >> en",Q3747505,-1.0075621604919434
2,512,515,LOC,Consul (representative) >> en,Q207978,-0.8208271861076355
2,519,521,LOC,Te >> en,Q1979714,-1.6600751876831055
2,527,540,LOC,Custom house >> en,Q218653,-0.35685795545578003
2,800,808,PER,Agostino da Siena >> en,Q395759,-0.21594560146331787
2,813,819,PER,Agnolo Bronzino >> en,Q7803,-1.0101490020751953
2,868,876,PER,Giovanni Pisano >> en,Q314932,-1.2185858488082886
2,881,888,PER,Niccola Pisano >> en,Q364413,-0.9952398538589478
2,892,896,LOC,Pisa >> en,Q13375,-0.2096591293811798
2,1015,1023,PER,Giovanni da Siena >> en,Q3768439,-1.3439127206802368
2,1040,1046,LOC,Naples >> en,Q2634,-0.19816583395004272
2,1050,1054,LOC,Pisa >> en,Q13375,-0.18804191052913666
2,1083,1088,LOC,Siena >> en,Q2751,-0.18836361169815063
2,1154,1159,LOC,Siena Cathedral >> en,Q282554,-0.012990713119506836
2,1280,1288,PER,Agostino da Siena >> en,Q395759,-0.4107552170753479
2,1537,1545,PER,Giovanni da Siena >> en,Q3768439,-0.7000470757484436
2,1994,2002,PER,Agostino da Siena >> en,Q395759,-1.2701647281646729
2,2045,2053,PER,Giovanni Bellini >> en,Q17169,-1.5033255815505981
2,2072,2078,PER,Agnolo Bronzino >> en,Q7803,-0.8699145317077637
3,0,8,PER,Agostino da Siena >> en,Q395759,-1.6563639640808105
3,46,54,PER,Giovanni Bellini >> en,Q17169,-1.3527867794036865
3,100,119,LOC,Roman Catholic Diocese of Arezzo-Cortona-Sansepolcro >> en,Q645542,0.2692905068397522
3,193,199,PER,Agnolo Bronzino >> en,Q7803,-0.7524992823600769
3,322,330,PER,Agostino da Siena >> en,Q395759,-0.7779479026794434
3,399,407,PER,Giovanni da Siena >> en,Q3768439,-1.4347251653671265
3,529,536,MISC,Pistola >> en,Q7198490,-0.2232113778591156
3,541,545,LOC,Pisa >> en,Q13375,-0.2039412558078766
3,712,717,LOC,Siena >> en,Q2751,-0.2064838409423828
3,719,727,PER,Agostino da Siena >> en,Q395759,-0.28092432022094727
3,753,759,LOC,Malborghetto Valbruna >> en,Q53278,-1.4846577644348145
3,763,775,LOC,Malborghetto-Valbruna >> it,Q53278,-0.9688960313796997
3,890,895,LOC,Siena >> en,Q2751,-0.20209506154060364
3,915,923,PER,Giovanni da Siena >> en,Q3768439,-0.9585056304931641
3,983,988,LOC,State (polity) >> en,Q7275,-0.770352840423584
3,1084,1089,LOC,Siena Cathedral >> en,Q282554,-0.0351276695728302
3,1215,1227,LOC,"Porta Romana, Siena >> en",Q2104857,-0.32184749841690063
3,1335,1351,LOC,"Porta Romana, Siena >> en",Q2104857,-1.202990174293518
3,1377,1389,LOC,Porta di San Niccolò >> it,Q3908806,-5.227254390716553
3,1417,1443,LOC,Porta Sant'Agata >> it,Q3908817,-1.9380418062210083
3,1491,1499,PER,Agostino da Siena >> en,Q395759,-1.8927520513534546
3,1504,1510,PER,Tolomei >> en,Q21450788,-1.7817591428756714
3,1532,1566,LOC,"San Francesco, Orvieto >> en",Q3670074,-0.9097077250480652
3,1595,1603,PER,Roman Catholic Archdiocese of Gaeta >> en,Q1364506,-1.3355690240859985
3,1672,1679,PER,Tolomei >> en,Q21450788,-0.38775479793548584
3,1709,1716,LOC,Orvieto >> en,Q541,-0.16757191717624664
3,1718,1726,PER,Agostino >> en,Q395550,-2.321988105773926
3,1731,1737,PER,Agnolo >> en,Q2826951,-2.031960964202881
3,1795,1803,PER,Santa Maria degli Angeli e dei Martiri >> en,Q569253,-1.5988306999206543
4,50,58,LOC,Florence >> en,Q2044,-0.1695379912853241
4,101,135,PER,Lorenzo de' Medici >> en,Q177854,-0.092781201004982
4,180,203,PER,Michelangelo >> en,Q5592,-1.0834089517593384
4,207,214,LOC,Gaio >> it,Q313439,-6.1839599609375
4,364,376,PER,Michelangelo >> en,Q5592,-0.7256935834884644
4,687,695,LOC,Florence >> en,Q2044,-0.16051620244979858
4,708,727,PER,Lorenzo de' Medici >> en,Q177854,-0.0950034111738205
4,749,755,PER,House of Medici >> en,Q170022,-0.20114091038703918
