id,start_pos,end_pos,surface,type,value,is_nested
0,74,82,Florence,LOC,Q2044,
0,134,144,S. Lorenzo,LOC,Q573881,
0,233,245,Michelagnolo,PER,Q5592,
0,474,491,Madonna di Loreto,LOC,Q654996,
0,541,549,Florence,LOC,Q2044,
0,551,563,Michelagnolo,PER,Q5592,
0,593,605,Duke Lorenzo,PER,Q177854,
0,1062,1074,Michelagnolo,PER,Q5592,
0,1098,1120,Raffaello da Montelupo,PER,Q1370859,
0,1410,1420,Buonarroti,PER,Q5592,
0,1444,1456,Michelagnolo,PER,Q5592,
0,1528,1534,Arezzo,LOC,Q13378,
0,1544,1550,Vasari,PER,Q128027,
0,1663,1675,Michelagnolo,PER,Q5592,
0,1845,1857,Michelagnolo,PER,Q5592,
0,1929,1941,Michelagnolo,PER,Q5592,
0,2056,2068,Duke Lorenzo,PER,Q177854,
0,2180,2190,S. Lorenzo,LOC,Q573881,
0,2203,2207,Rome,LOC,Q220,
0,2309,2317,Florence,LOC,Q2044,
0,2530,2542,Michelagnolo,PER,Q5592,
1,27,37,Poggibonzi,LOC,Q91350,1
1,57,67,Montorsoli,LOC,Q3862501,
1,103,111,Florence,LOC,Q2044,
1,127,134,Bologna,LOC,Q1891,
1,474,481,Fiesole,LOC,Q82670,
1,502,512,Montorsoli,LOC,Q3862501,
1,586,605,Francesco del Tadda,PER,Q3750862,
1,822,841,Francesco del Tadda,PER,Q3750862,
1,877,884,Fiesole,LOC,Q82670,
1,1162,1166,Rome,LOC,Q220,
1,1218,1227,S. Pietro,LOC,Q12512,
1,1410,1414,Rome,LOC,Q220,
1,1453,1460,Perugia,LOC,Q3437,
1,1584,1591,Perugia,LOC,Q3437,
1,1733,1752,M. Raffaello Maffei,PER,Q3417362,
1,1780,1788,Volterra,LOC,Q103305,
2,69,77,Giovanni,PER,Q314932,
2,82,97,Niccola of Pisa,PER,Q364413,
2,93,97,Pisa,LOC,Q13375,1
2,99,107,Agostino,PER,Q395759,
2,133,138,Siena,LOC,Q2751,
2,301,306,Siena,LOC,Q2751,
2,445,456,Fontebranda,LOC,Q3747505,
2,527,540,Customs-house,LOC,Q218653,
2,800,808,Agostino,PER,Q395759,
2,868,876,Giovanni,PER,Q314932,
2,881,896,Niccola of Pisa,PER,Q364413,
2,892,896,Pisa,LOC,Q13375,1
2,1040,1046,Naples,LOC,Q2634,
2,1050,1054,Pisa,LOC,Q13375,
2,1083,1088,Siena,LOC,Q2751,
2,1154,1159,Duomo,LOC,Q282554,
2,1280,1288,Agostino,PER,Q395759,
2,1994,2002,Agostino,PER,Q395759,
3,0,8,Agostino,PER,Q395759,
3,322,330,Agostino,PER,Q395759,
3,541,545,Pisa,LOC,Q13375,
3,712,717,Siena,LOC,Q2751,
3,719,727,Agostino,PER,Q395759,
3,890,895,Siena,LOC,Q2751,
3,1084,1089,Duomo,LOC,Q282554,
3,1215,1227,Porta Romana,LOC,Q2104857,
3,1335,1351,Porta S. Martino,LOC,Q2104857,
3,1491,1499,Agostino,PER,Q395759,
3,1709,1716,Orvieto,LOC,Q541,
4,50,58,Florence,LOC,Q2044,
4,101,135,Lorenzo de' Medici the Magnificent,PER,Q177854,
4,687,695,Florence,LOC,Q2044,
4,749,755,Medici,ORG,Q170022,
4,831,850,Magnificent Lorenzo,PER,Q177854,
4,1047,1066,Magnificent Lorenzo,PER,Q177854,
4,1409,1417,Florence,LOC,Q2044,
5,81,110,Chamber of Our Lady at Loreto,LOC,Q654996,
5,144,186,Maestro Andrea Contucci of Monte Sansovino,PER,Q495011,
5,321,325,Rome,LOC,Q220,
5,374,379,David,PER,Q41370,
5,396,403,Goliath,PER,Q192785,
5,555,561,Medici,ORG,Q170022,1
5,565,573,Florence,LOC,Q2044,1
5,601,606,David,PER,Q41370,
5,648,661,Medici Palace,LOC,Q911047,
5,713,720,Signori,ORG,Q3393334,
5,810,815,David,PER,Q41370,
5,1157,1177,Nativity of Our Lady,MISC,Q501107,
5,1604,1610,Baccio,PER,Q358348,
5,1909,1915,Baccio,PER,Q358348,
5,1961,1967,Baccio,PER,Q358348,
5,2101,2111,Bandinelli,PER,Q358348,
5,2218,2224,Baccio,PER,Q358348,
5,2250,2256,Ancona,LOC,Q3415,
5,2393,2415,Raffaello da Montelupo,PER,Q1370859,
6,1125,1151,Filippo di Ser Brunellesco,PER,Q174330,
6,1227,1233,Giotto,PER,Q7814,
6,1313,1319,Heaven,LOC,Q4489450,
6,2004,2010,Heaven,LOC,Q4489450,
7,29,37,Florence,LOC,Q2044,
7,774,781,Filippo,PER,Q174330,
7,1628,1635,Filippo,PER,Q174330,
7,1963,1970,Pistoia,LOC,Q13376,1
8,20,28,Florence,LOC,Q2044,1
8,493,507,Porta a Faenza,LOC,Q3908872,
8,518,537,Giuliano Bugiardini,PER,Q2578459,
8,730,736,Medici,ORG,Q170022,1
8,884,907,Michelagnolo Buonarroti,PER,Q5592,
8,971,983,Michelagnolo,PER,Q5592,
8,1656,1668,Michelagnolo,PER,Q5592,
8,1932,1940,Granacci,PER,Q717097,
8,1948,1968,Domenico Ghirlandajo,PER,Q191423,
8,2017,2033,S. Maria Novella,LOC,Q51175,
9,29,53,Cardinal Innocenzio Cibo,PER,Q1386991,
9,149,175,Cardinal Giulio de' Medici,PER,Q83159,
9,259,272,Cardinal Cibo,PER,Q1386991,
9,526,539,Baccio Valori,PER,Q3181432,1
10,769,784,Marco Calavrese,PER,Q2559941,
10,872,878,Naples,LOC,Q2634,
10,943,947,Rome,LOC,Q220,
10,1036,1041,Siren,PER,Q150986,
10,1145,1151,Sebeto,LOC,Q3953836,
10,1257,1263,Heaven,LOC,Q4489450,
10,1516,1522,Aversa,LOC,Q19279,
10,1547,1553,Naples,LOC,Q2634,
10,1756,1768,S. Augustine,PER,Q8018,
10,1814,1820,Christ,PER,Q302,
10,1825,1831,Saints,PER,Q43115,
11,116,124,Calabria,LOC,Q1458,
11,129,135,Ascoli,LOC,Q6624,
11,144,150,Norcia,LOC,Q20494,
11,483,487,Rome,LOC,Q220,
11,533,539,Ascoli,LOC,Q6624,
11,726,732,Ascoli,LOC,Q6624,
11,749,762,Pope Paul III,PER,Q133001,
11,1288,1294,Ascoli,LOC,Q6624,
11,1456,1481,Signor Alessandro Vitelli,PER,Q621395,
11,1506,1513,Matrice,LOC,Q277684,1
11,1557,1574,Città di Castello,LOC,Q20413,
11,1731,1738,Matrice,LOC,Q277684,
12,6,15,Giorgione,PER,Q8459,
12,20,29,Correggio,PER,Q8457,
12,98,106,Lombardy,LOC,Q1210,
12,108,115,Tuscany,LOC,Q1273,
12,214,219,Piero,PER,Q280851,
12,273,288,Cosimo Rosselli,PER,Q29447,
12,322,337,Piero di Cosimo,PER,Q280851,
