text_idx,x_start,x_end,x,y_start,y_end,y,relation
0,474,491,Madonna di Loreto,417,437,Antonio da San Gallo,creator
0,593,605,Duke Lorenzo,610,623,Duke Giuliano,sibling
0,610,623,Duke Giuliano,593,605,Duke Lorenzo,sibling
1,57,67,Montorsoli,103,111,Florence,located in the administrative territorial entity
1,7,37,Michele d'Agnolo of Poggibonzi,103,111,Florence,place of birth
1,7,37,Michele d'Agnolo of Poggibonzi,127,134,Bologna,place of death
2,445,456,Fontebranda,133,138,Siena,located in the administrative territorial entity
2,445,456,Fontebranda,371,375,1190,inception
2,527,540,Customs-house,133,138,Siena,located in the administrative territorial entity
3,529,536,Pistola,541,545,Pisa,located in the administrative territorial entity
3,529,536,Pistola,541,545,Pisa,shares border with
3,763,775,Malborghetto,712,717,Siena,located in the administrative territorial entity
4,180,203,Michelagnolo di Viviano,163,172,goldsmith,occupation
4,101,135,Lorenzo de' Medici the Magnificent,50,58,Florence,place of birth
4,801,809,Giuliano,864,882,Piazza di S. Croce,notable work
4,864,882,Piazza di S. Croce,801,809,Giuliano,architect
5,648,661,Medici Palace,565,573,Florence,located in the administrative territorial entity
5,601,616,David of Donato,648,661,Medici Palace,location
6,111,114,art,565,571,beauty,has quality
6,706,711,clods,745,749,gold,made from material
6,565,571,beauty,556,561,grace,subclass of
7,145,174,Ser Brunellesco di Lippo Lapi,715,719,1398,date of birth
7,145,174,Ser Brunellesco di Lippo Lapi,29,37,Florence,place of birth
7,145,174,Ser Brunellesco di Lippo Lapi,774,781,Filippo,child
7,145,174,Ser Brunellesco di Lippo Lapi,29,37,Florence,place of death
8,518,537,Giuliano Bugiardini,603,607,1529,date of birth
8,518,537,Giuliano Bugiardini,20,28,Florence,place of birth
8,823,831,Bertoldo,884,907,Michelagnolo Buonarroti,student
9,526,539,Baccio Valori,544,559,Olmo a Castello,located in the administrative territorial entity
9,526,539,Baccio Valori,544,559,Olmo a Castello,located on terrain feature
9,526,539,Baccio Valori,544,559,Olmo a Castello,location
10,769,784,Marco Calavrese,872,878,Naples,work location
10,769,784,Marco Calavrese,872,878,Naples,place of birth
10,769,784,Marco Calavrese,872,878,Naples,place of death
11,69,87,Cola dalla Matrice,129,135,Ascoli,place of death
11,69,87,Cola dalla Matrice,129,135,Ascoli,place of birth
11,61,87,Maestro Cola dalla Matrice,129,135,Ascoli,place of death
12,98,106,Lombardy,108,115,Tuscany,located in the administrative territorial entity
12,273,288,Cosimo Rosselli,322,337,Piero di Cosimo,student
12,98,106,Lombardy,108,115,Tuscany,shares border with
13,131,152,Chapel of the Tedaldi,94,122,Church of the Servite Friars,part of
13,776,787,S. Antonino,789,811,Archbishop of Florence,position held
13,131,152,Chapel of the Tedaldi,94,122,Church of the Servite Friars,location
14,83,115,Girolamo Siciolante of Sermoneta,106,115,Sermoneta,place of birth
14,244,260,Castel S. Angelo,23,27,Rome,work location
14,83,115,Girolamo Siciolante of Sermoneta,23,27,Rome,place of death
15,3,19,Jacopo del Conte,23,33,Florentine,place of birth
15,2571,2587,Jacopo del Conte,72,76,Rome,place of death
