id,start_pos,end_pos,entity,wb_id,score
0,74,82,Florence >> en,Q2044,-0.17778627574443817
0,123,144,"San Lorenzo, Florence >> en",Q573881,-0.29223549365997314
0,134,144,"San Lorenzo, Florence >> en",Q573881,0.12280598282814026
0,233,245,Michelangelo >> en,Q5592,-1.0605536699295044
0,541,549,Florence >> en,Q2044,-0.1774740368127823
0,551,563,Michelangelo >> en,Q5592,-0.7922845482826233
0,593,605,Lorenzo de' Medici >> en,Q177854,-0.33323049545288086
0,1062,1074,Michelangelo >> en,Q5592,-0.9389412999153137
0,1098,1120,Raffaello da Montelupo,Q1370859,88.569756
0,1444,1456,Michelangelo >> en,Q5592,-1.091155767440796
0,1528,1534,Arezzo >> en,Q13378,-0.19459322094917297
0,1544,1550,Giorgio Vasari >> en,Q128027,-0.04613234102725983
0,1663,1675,Michelangelo >> en,Q5592,-1.0283633470535278
0,1845,1857,Michelangelo >> en,Q5592,-0.8996003866195679
0,1929,1941,Michelangelo >> en,Q5592,-0.7072412371635437
0,2056,2068,Lorenzo de' Medici >> en,Q177854,-0.36073651909828186
0,2180,2190,"San Lorenzo, Florence >> en",Q573881,0.1174667477607727
0,2203,2207,Rome >> en,Q220,-0.21881882846355438
0,2309,2317,Florence >> en,Q2044,-0.17260998487472534
0,2530,2542,Michelangelo >> en,Q5592,-0.763169527053833
1,103,111,Florence,Q2044,85.89071
1,127,134,Bologna,Q1891,85.415146
1,474,481,Fiesole >> en,Q82670,-0.20001499354839325
1,586,605,Francesco del Tadda >> it,Q3750862,-1.3737894296646118
1,877,884,Fiesole >> en,Q82670,-0.21086812019348145
1,1162,1166,Rome >> en,Q220,-0.2182745784521103
1,1218,1227,St. Peter's Basilica >> en,Q12512,0.08201324939727783
1,1410,1414,Rome >> en,Q220,-0.21906065940856934
1,1453,1460,Perugia >> en,Q3437,-0.20385554432868958
1,1584,1591,Perugia >> en,Q3437,-0.1975899636745453
1,1733,1752,Raffaello Maffei,Q3417362,86.26786
1,1780,1788,Volterra >> en,Q103305,-0.1742122620344162
2,69,77,Giovanni Pisano >> en,Q314932,-0.7856977581977844
2,82,97,Niccola Pisano >> en,Q364413,-0.5427815914154053
2,93,97,Pisa >> en,Q13375,-0.19125472009181976
2,133,138,Siena >> en,Q2751,-0.19852720201015472
2,301,306,Siena >> en,Q2751,-0.19181591272354126
2,445,456,"Fontebranda, Siena >> en",Q3747505,-1.1170108318328857
2,527,540,Custom house >> en,Q218653,-0.4782766103744507
