id,surface,start_pos,end_pos,type
0,Life of Michelagnolo,225,245,WORK_OF_ART
0,Madonna di Loreto,474,491,WORK_OF_ART
2,Life,185,189,WORK_OF_ART
3,State,983,988,WORK_OF_ART
14,Life of Perino del Vaga,166,189,WORK_OF_ART
14,German,1763,1769,WORK_OF_ART
15,Pontiffs,590,598,WORK_OF_ART
19,Florentines,1718,1729,WORK_OF_ART
22,Life of,1142,1149,WORK_OF_ART
24,Lives of the Painters,680,701,WORK_OF_ART
25,Venetian gentleman,2143,2161,WORK_OF_ART
28,Triumph of Paulus Emilius,2192,2217,WORK_OF_ART
29,Madonna,869,876,WORK_OF_ART
34,Mercury and Venus,3096,3113,WORK_OF_ART
36,Oratory of Orsanmichele,762,785,WORK_OF_ART
37,Oratory of Orsanmichele,60,83,WORK_OF_ART
51,Crucifix,1745,1753,WORK_OF_ART
