id,start_pos,end_pos,label,surface,alias,wb_id,score
1,103,124,PER,Andrea del Verrocchio,Andrea_del_Verrocchio,Q183458,0.3879295619181215
1,178,184,PER,Christ,Jesus,Q302,0.7688025179106827
1,191,199,PER,Leonardo,Leonardo_da_Vinci,Q762,0.433044331322986
1,279,287,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4369730056759028
1,368,374,PER,Andrea,Andrea_del_Verrocchio,Q183458,0.3892309212588124
1,402,408,PER,Andrea,Andrea_del_Verrocchio,Q183458,0.3892309212588124
2,84,92,LOC,Flanders,Flanders,Q234,0.7460701404301167
2,185,201,LOC,Earthly Paradise,Garden_of_Eden,Q19014,0.38727825954758405
2,211,219,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4295474513626178
2,157,161,PER,Adam,Adam,Q70899,0.7259137837627909
3,0,8,PER,Leonardo,Leonardo_da_Vinci,Q762,0.4293930769836168
3,32,40,MISC,Our Lady,"Mary,_mother_of_Jesus",Q345,0.9111642264993006
3,96,112,PER,Pope Clement VII,Pope_Clement_VII,Q83159,0.662240631564207
4,93,98,PER,angel,Angel,Q235113,0.5006486804115123
5,81,88,MISC,Neptune,Neptune_(mythology),Q3954,0.5728447435967785
6,32,53,MISC,Adoration of the Magi,Adoration_of_the_Magi,Q488841,0.8819705755583241
7,19,24,LOC,Milan,Milan,Q490,0.4083398189644392
7,227,233,PER,Christ,Jesus,Q302,0.5260879772304377
7,339,345,PER,Christ,Jesus,Q302,0.539094641532338
8,51,62,MISC,Last Supper,Last_Supper,Q51633,0.950940230239077
8,118,126,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8380812619914625
8,161,173,PER,Massimiliano,Maximilian_Sforza,Q378739,0.7393519588309687
9,54,59,LOC,Milan,Milan,Q490,0.4146400419301543
10,43,50,PER,Madonna,"Mary,_mother_of_Jesus",Q345,0.3079146677939689
10,73,79,PER,Christ,Jesus,Q302,0.8186092632824212
10,927,930,PER,joy,Happiness,Q8,0.848957704585757
10,1027,1035,PER,Leonardo,Leonardo_da_Vinci,Q762,0.6816536419677609
11,0,8,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8551437626324454
11,230,243,LOC,Fontainebleau,Fontainebleau,Q182872,0.8210958194510265
12,11,15,LOC,Rome,Rome,Q220,0.8334790233922748
13,152,169,PER,Niccolo Piccinino,Niccolò_Piccinino,Q979543,0.38727825954758405
14,71,77,PER,Datary,Apostolic_Dataria,Q620020,0.38727825954758405
15,135,142,LOC,Galilee,Galilee,Q83241,0.9080895047700543
16,14,22,PER,Leonardo,Leonardo_da_Vinci,Q762,0.8553261948029115
16,56,61,LOC,Milan,Milan,Q490,0.44201036467785265
16,202,209,LOC,Bologna,Bologna,Q1891,0.7664558130789181
16,482,490,PER,Leonardo,Leonardo_da_Vinci,Q762,0.9106736412084613
17,44,51,PER,Cimabue,Cimabue,Q15790,0.38727825954758405
17,100,106,LOC,Assisi,Assisi,Q20103,0.8959886041319487
17,118,124,LOC,Umbria,Umbria,Q1280,0.548274965473534
20,153,173,PER,Piero del Pollaiuolo,Piero_del_Pollaiolo,Q707046,0.38727825954758405
21,23,33,LOC,Ognissanti,"Ognissanti,_Florence",Q2778991,0.38772075960087465
21,231,251,PER,Domenico Ghirlandajo,Domenico_Ghirlandaio,Q191423,0.38727825954758405
22,142,153,PER,Duke Cosimo,"Cosimo_I_de'_Medici,_Grand_Duke_of_Tuscany",Q48547,0.38727825954758405
22,261,267,MISC,Cupids,Cupid,Q5011,0.4651674323962242
22,290,295,PER,Venus,Venus_(mythology),Q47652,0.9079782656958879
22,306,312,MISC,Graces,Charites,Q184353,0.39802138723628755
24,24,32,LOC,Florence,Florence,Q2044,0.3978920032291491
25,68,77,PER,Boccaccio,Giovanni_Boccaccio,Q1402,0.529031157932335
25,88,109,PER,Nastagio degli Onesti,Nastagio_degli_Onesti,Q1232587,0.38727825954758405
25,186,194,MISC,Epiphany,Epiphany_(holiday),Q132001,0.2468963277747085
27,67,75,LOC,Florence,Florence,Q2044,0.6982722943556261
27,111,133,MISC,Visitation of Our Lady,Visitation_(Christianity),Q691810,0.38727825954758405
28,346,352,PER,Heaven,Heaven,Q4489450,0.8371852228588783
28,421,432,MISC,Holy Spirit,Holy_Spirit,Q37302,0.9508850141054866
29,7,15,ORG,predella,Predella,Q1411766,0.38727825954758405
30,79,86,ORG,Perseus,Perseus,Q130832,0.22473216277406954
30,98,107,ORG,Andromeda,Andromeda_(mythology),Q161582,0.4934396705973616
31,46,51,PER,Venus,Venus_(mythology),Q47652,0.9010563034041593
31,60,64,MISC,Mars,Mars_(mythology),Q112,0.5048736101766891
31,257,261,MISC,Mars,Mars_(mythology),Q112,0.4968942336342145
33,245,254,PER,Cleopatra,Cleopatra,Q635,0.8931245749363176
