id,start_pos,end_pos,surface,label,wb_id,score
2,144,152,Portugal,LOC,Q45,0.9842176146477405
2,157,169,Adam and Eve,ORG,Q58701,0.6332701104881416
4,0,2,It,LOC,Q38,0.664998459612348
5,4,17,Antonio Segni,PERSON,Q1240,1.2249804780837783
7,59,80,S. Maria delle Grazie,LOC,Q55436629,1.4383485763701804
8,186,189,son,LOC,Q4174776,0.36177126080914823
8,265,268,son,LOC,Q4174776,0.06995537154769382
8,310,315,Milan,LOC,Q490,0.03652448347271342
9,86,92,France,LOC,Q142,0.5338219909370275
9,162,166,lion,LOC,Q456,0.6711435953146329
10,464,467,can,LOC,Q16,0.6664221471108162
10,536,542,Christ,PERSON,Q302,1.2091748299510776
10,639,645,Virgin,LOC,Q1370,0.2371673238381321
10,830,840,little boy,PERSON,Q102426511,0.09815997316485847
11,35,57,Francesco del Giocondo,PERSON,Q153032,1.3681882136151509
11,208,225,Francis of France,PERSON,Q60835574,0.24649976803776086
12,26,45,Giuliano de' Medici,PERSON,Q298877,0.6849613277888179
13,108,124,S. Maria Novella,LOC,Q800761,0.7766862487450389
13,198,203,Milan,LOC,Q490,0.6172214056196882
14,115,122,Madonna,PERSON,Q345,0.1892491716765773
15,77,81,Pace,ORG,Q21196,0.4769074204367788
15,98,106,Our Lady,PERSON,Q345,0.7974848277165035
15,135,142,Galilee,PERSON,Q307,0.5001922029175142
16,0,1,A,LOC,Q48,0.6467926399316758
16,34,52,Antonio Boltraffio,PERSON,Q442528,0.4920749335141904
16,238,246,Our Lady,PERSON,Q345,0.9767857525662794
16,278,294,John the Baptist,PERSON,Q40662,1.067150973088744
17,157,162,Greek,LOC,Q41,0.9732005003203673
17,185,191,Church,ORG,Q9592,1.232561528424946
17,271,283,Jesus Christ,PERSON,Q302,1.3249286565285416
18,165,181,John the Baptist,PERSON,Q40662,0.8233584561571686
18,186,204,Giovanni Gualberto,PERSON,Q707172,0.0944464384128495
18,232,244,Michelagnolo,PERSON,Q5592,0.887995690354065
21,93,101,Vespucci,PERSON,Q47674,0.4127009685582158
21,107,116,Augustine,PERSON,Q8018,0.48188774151481806
24,3,20,S. Maria Maggiore,LOC,Q186282,1.200987689706721
26,175,191,S. Maria Novella,LOC,Q800761,1.3252136751206005
26,257,259,It,LOC,Q38,1.45839343844799
27,22,34,Gino Capponi,PERSON,Q719985,0.16983896006077404
27,125,133,Our Lady,PERSON,Q345,0.9673347862267795
33,46,55,San Gallo,LOC,Q12746,0.31549053925756676
