id,start_pos,end_pos,surface,label,wb_id,score
1,103,124,Andrea del Verrocchio,PERSON,Q183458,2.2701290449788183
1,178,184,Christ,PERSON,Q302,1.089094655080975
1,191,199,Leonardo,PERSON,Q762,2.0561296153121598
1,279,287,Leonardo,PERSON,Q762,1.1776387188504351
2,144,152,Portugal,LOC,Q45,0.9842176146477405
2,157,169,Adam and Eve,ORG,Q58701,0.6332701104881416
2,211,219,Leonardo,PERSON,Q762,0.9092906568140663
3,0,8,Leonardo,PERSON,Q762,0.9251916003273349
3,32,40,Our Lady,PERSON,Q345,0.836016203926602
3,96,112,Pope Clement VII,PERSON,Q83159,1.4744950863118063
4,0,2,It,LOC,Q38,0.664998459612348
5,4,17,Antonio Segni,PERSON,Q1240,1.2249804780837783
6,139,152,Amerigo Benci,PERSON,Q89125988,0.5053911065678826
7,19,24,Milan,LOC,Q490,0.0702873623025525
7,59,80,S. Maria delle Grazie,LOC,Q55436629,1.4383485763701804
7,227,233,Christ,PERSON,Q302,0.990238647873294
7,339,345,Christ,PERSON,Q302,0.6831425863699959
8,118,126,Leonardo,PERSON,Q762,0.7686953812869212
8,186,189,son,LOC,Q4174776,0.36177126080914823
8,265,268,son,LOC,Q4174776,0.06995537154769382
8,310,315,Milan,LOC,Q490,0.03652448347271342
9,30,38,Leonardo,PERSON,Q762,1.1227741630176973
9,54,59,Milan,LOC,Q490,0.8897188117155422
9,86,92,France,LOC,Q142,0.5338219909370275
9,104,112,Leonardo,PERSON,Q762,1.1810502208648876
9,162,166,lion,LOC,Q456,0.6711435953146329
10,43,50,Madonna,PERSON,Q345,0.8048264048532813
10,73,79,Christ,PERSON,Q302,1.0875816757559496
10,328,336,Leonardo,PERSON,Q762,0.4826268452469188
10,406,413,Madonna,PERSON,Q345,0.5850291308731382
10,464,467,can,LOC,Q16,0.6664221471108162
10,536,542,Christ,PERSON,Q302,1.2091748299510776
10,639,645,Virgin,LOC,Q1370,0.2371673238381321
10,830,840,little boy,PERSON,Q102426511,0.09815997316485847
10,1027,1035,Leonardo,PERSON,Q762,0.3534742713159048
11,0,8,Leonardo,PERSON,Q762,0.6650743199792585
11,35,57,Francesco del Giocondo,PERSON,Q153032,1.3681882136151509
11,208,225,Francis of France,PERSON,Q60835574,0.24649976803776086
12,11,15,Rome,LOC,Q220,1.040546047742743
12,26,45,Giuliano de' Medici,PERSON,Q298877,0.6849613277888179
13,10,18,Leonardo,PERSON,Q762,0.38020672358660634
13,108,124,S. Maria Novella,LOC,Q800761,0.7766862487450389
13,152,169,Niccolo Piccinino,PERSON,Q979543,0.8842167260316355
13,198,203,Milan,LOC,Q490,0.6172214056196882
13,236,244,horsemen,ORG,Q47315,0.07391226012976015
14,33,51,Baldassarre Turini,PERSON,Q3633263,0.5563488556534842
14,55,61,Pescia,LOC,Q102661,0.18681699388655792
14,115,122,Madonna,PERSON,Q345,0.1892491716765773
15,77,81,Pace,ORG,Q21196,0.4769074204367788
15,98,106,Our Lady,PERSON,Q345,0.7974848277165035
15,135,142,Galilee,PERSON,Q307,0.5001922029175142
16,0,1,A,LOC,Q48,0.6467926399316758
16,14,22,Leonardo,PERSON,Q762,0.6294863284064035
16,34,52,Antonio Boltraffio,PERSON,Q442528,0.4920749335141904
16,56,61,Milan,LOC,Q490,0.7711836170887666
16,202,209,Bologna,LOC,Q1891,0.41894244168083705
16,238,246,Our Lady,PERSON,Q345,0.9767857525662794
16,278,294,John the Baptist,PERSON,Q40662,1.067150973088744
16,482,490,Leonardo,PERSON,Q762,0.15248677944911393
17,100,106,Assisi,LOC,Q20103,0.06607992925474682
17,118,124,Umbria,LOC,Q1280,0.2888357779345939
17,157,162,Greek,LOC,Q41,0.9732005003203673
17,185,191,Church,ORG,Q9592,1.232561528424946
17,271,283,Jesus Christ,PERSON,Q302,1.3249286565285416
18,165,181,John the Baptist,PERSON,Q40662,0.8233584561571686
18,186,204,Giovanni Gualberto,PERSON,Q707172,0.0944464384128495
18,232,244,Michelagnolo,PERSON,Q5592,0.887995690354065
19,14,26,Michelagnolo,PERSON,Q5592,0.5499040882161622
19,89,101,Jacopo Galli,PERSON,Q21866988,0.2658143154082019
20,80,88,Florence,LOC,Q2044,0.8765244061577618
20,153,173,Piero del Pollaiuolo,PERSON,Q707046,1.7012920780840122
21,93,101,Vespucci,PERSON,Q47674,0.4127009685582158
21,107,116,Augustine,PERSON,Q8018,0.48188774151481806
21,231,251,Domenico Ghirlandajo,PERSON,Q191423,1.4186303575813484
24,3,20,S. Maria Maggiore,LOC,Q186282,1.200987689706721
24,24,32,Florence,LOC,Q2044,0.14005648619974853
26,175,191,S. Maria Novella,LOC,Q800761,1.3252136751206005
26,257,259,It,LOC,Q38,1.45839343844799
27,22,34,Gino Capponi,PERSON,Q719985,0.16983896006077404
27,67,75,Florence,LOC,Q2044,0.4112778599291739
27,125,133,Our Lady,PERSON,Q345,0.9673347862267795
28,258,266,Our Lady,PERSON,Q345,0.7691873735883478
32,108,121,Via de' Servi,LOC,Q3556508,0.9849541848397122
33,46,55,San Gallo,LOC,Q12746,0.31549053925756676
