id,start_pos,end_pos,surface,label,wb_id,score
2,77,85,Vespucci,PERSON,Q47674,0.27829178054664394
3,3,14,casa Medici,ORG,Q170022,0.6608844493593166
3,185,195,Sebastiano,PERSON,Q183332,0.20668566474993388
3,199,210,Santa Maria,PERSON,Q345,0.3921554788294962
5,139,146,Filippo,PERSON,Q43675,0.041403895479761754
5,179,185,Nostra,PERSON,Q99676211,0.14134478383118165
5,216,221,terra,LOC,Q2,2.7943139768530996
5,235,238,con,PERSON,Q5997110,0.6172596945022565
6,158,181,chiesa di Santo Spirito,LOC,Q99999717,0.4955775943275865
6,185,193,Fiorenza,LOC,Q2044,2.1843856264931456
6,206,214,cappella,LOC,Q99658231,0.1520852299299721
6,218,230,Gino Capponi,PERSON,Q719985,1.2594028658898173
7,138,141,son,LOC,Q4174776,0.10973026083853288
10,260,263,tal,LOC,Q2,0.9346081991844696
11,110,120,Portogallo,LOC,Q45,0.6779704004629131
13,3,16,Antonio Segni,PERSON,Q1240,0.9599272435800862
14,35,47,San Domenico,PERSON,Q44091,0.25850173908929486
14,50,61,Santa Maria,PERSON,Q345,0.8952033145919999
16,25,47,Francesco del Giocondo,PERSON,Q153032,2.1433365253604606
17,179,185,Milano,LOC,Q490,1.1629490486388314
18,192,195,suo,ORG,Q920544,0.3493160937173011
19,104,109,Marco,PERSON,Q31966,0.1935590453224253
19,126,148,Santa Maria della Pace,LOC,Q1514683,0.14068558869993264
20,48,62,Santa Caterina,PERSON,Q179718,0.31396608588043995
20,140,146,Cristo,PERSON,Q302,1.4312115528159866
20,175,180,Marie,PERSON,Q345,1.0768834324800594
22,503,508,terra,LOC,Q2,0.3798367587538346
23,186,192,Venere,LOC,Q901931,0.10758444061514594
23,249,254,terra,LOC,Q2,1.6110774485501933
