id,start_pos,end_pos,surface,type,value,is_nested
0,134,144,S. Lorenzo,LOC,Q573881,
0,474,491,Madonna di Loreto,LOC,Q654996,
0,485,491,Loreto,LOC,Q124110,1
0,532,537,Frate,PER,Q27040,
0,638,643,Frate,PER,Q27040,
0,1084,1094,S. Damiano,PER,Q11841130,
0,1154,1163,S. Cosimo,PER,Q11841156,
0,1845,1857,Michelagnolo,PER,Q5592,
1,244,250,Agnolo,PER,Q27040,
1,502,512,Montorsoli,LOC,Q3862501,
1,1218,1227,S. Pietro,LOC,Q12512,
1,1780,1788,Volterra,LOC,Q103305,
2,185,189,Life,MISC,Q1645493,
2,399,412,three Consuls,ORG,Q736727,
2,445,456,Fontebranda,LOC,Q3747505,
2,512,521,Consulate,LOC,Q736727,
2,527,540,Customs-house,LOC,Q218653,
2,1154,1159,Duomo,LOC,Q282554,
3,0,8,Agostino,PER,Q395759,
3,983,988,State,ORG,Q736727,
3,1084,1089,Duomo,LOC,Q282554,
3,1215,1227,Porta Romana,LOC,Q2104857,
3,1335,1351,Porta S. Martino,LOC,Q2104857,
3,1377,1389,Porta a Tufi,LOC,Q3908860,
3,1417,1443,Porta di S. Agata all'Arco,LOC,Q3908860,
3,1532,1566,Church and Convent of S. Francesco,LOC,Q810074,
3,1795,1803,S. Maria,LOC,Q10924,
4,749,755,Medici,ORG,Q170022,
4,831,850,Magnificent Lorenzo,PER,Q177854,
4,1377,1383,Medici,ORG,Q170022,
4,1817,1823,Baccio,PER,Q358348,
5,104,110,Loreto,LOC,Q124110,1
5,335,339,Pope,PER,Q49237,
5,555,561,Medici,ORG,Q170022,1
5,601,606,David,PER,Q41370,
5,680,686,Palace,LOC,Q271928,
5,713,720,Signori,ORG,Q3393334,
5,871,877,Andrea,PER,Q124110,
5,1169,1177,Our Lady,PER,Q345,1
5,1909,1915,Baccio,PER,Q358348,
5,1961,1967,Baccio,PER,Q358348,
5,2018,2032,Maestro Andrea,PER,Q495011,
5,2101,2111,Bandinelli,PER,Q358348,
6,1215,1222,Rabatta,LOC,NIL,1
6,1313,1319,Heaven,LOC,Q4489450,
6,1639,1645,Heaven,LOC,Q4489450,
6,2004,2010,Heaven,LOC,Q4489450,
7,424,429,Spini,ORG,NIL,
7,578,597,S. Michele Berteldi,LOC,NIL,
7,2046,2062,Wardens of Works,ORG,NIL,
8,11,28,siege of Florence,MISC,Q981042,
8,730,736,Medici,ORG,Q170022,1
8,937,947,Buonarroti,PER,Q5592,
8,971,983,Michelagnolo,PER,Q5592,
9,217,235,Cardinal de' Rossi,PER,Q733662,
9,517,539,villa of Baccio Valori,LOC,31A221(+81),
9,526,539,Baccio Valori,PER,Q3181432,1
9,544,559,Olmo a Castello,LOC,Q2163936,
10,1623,1644,Church of S. Agostino,LOC,Q779975,
11,80,87,Matrice,LOC,Q223427,1
11,726,732,Ascoli,LOC,Q6624,
11,1498,1513,Lord of Matrice,PER,NIL,
11,1687,1699,Maestro Cola,PER,Q3339886,
11,1731,1738,Matrice,LOC,Q277684,
13,94,122,Church of the Servite Friars,LOC,Q2287001,
13,108,122,Servite Friars,ORG,Q615923,1
13,131,152,Chapel of the Tedaldi,LOC,NIL,
13,145,152,Tedaldi,ORG,NIL,1
13,231,236,Order,ORG,Q615923,
13,346,352,Heaven,LOC,Q4489450,
13,395,398,Son,PER,Q302,
13,512,516,Dove,PER,Q1367208,
13,757,764,Servite,ORG,Q615923,1
13,789,799,Archbishop,PER,Q49476,1
13,1315,1321,Dragon,PER,Q7559,
13,1877,1883,Nature,LOC,Q7860,
13,2259,2266,Provost,PER,Q756215,1
14,106,115,Sermoneta,LOC,Q128202,1
14,774,795,Church of S. Apostolo,LOC,Q1515300,
14,838,849,Dead Christ,PER,Q3155356,
14,843,849,Christ,PER,Q302,1
14,945,949,Pace,LOC,Q1514683,
14,1119,1143,Nativity of Jesus Christ,MISC,Q51628,
14,1131,1143,Jesus Christ,PER,Q302,1
14,1149,1170,Adoration of the Magi,MISC,Q488841,
14,1166,1170,Magi,PER,Q51671,1
