doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
45,4,876,887,115,126,altar-piece,Artwork
45,4,888,907,127,146,Christ and Our Lady,Artwork
45,5,1109,1129,101,121,Dead Christ with the,Artwork
45,5,1131,1137,123,129,Maries,Artwork
45,5,1160,1182,152,174,Assumption of Our Lady,Artwork
45,6,1272,1283,70,81,altar-piece,Artwork
45,6,1402,1410,200,208,Our Lady,Artwork
45,7,1627,1663,199,235,the Beheading of S. John the Baptist,Artwork
45,7,1706,1740,278,312,an altar-piece of the Annunciation,Artwork
45,8,1753,1764,11,22,altar-piece,Artwork
45,8,1770,1778,28,36,S. Rocco,Artwork
45,8,1812,1824,70,82,S. Sebastian,Artwork
45,8,1843,1851,101,109,Our Lady,Artwork
45,8,1996,2004,254,262,S. James,Artwork
