doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
41,0,94,101,94,101,Madonna,Artwork
41,2,799,804,125,130,panel,Artwork
41,2,822,856,148,182,Madonna with the Child in her arms,Artwork
41,2,868,874,194,200,angels,Artwork
41,4,1336,1347,15,26,Pergentino;,Artwork
41,5,1607,1612,30,35,panel,Artwork
41,6,1862,1874,108,120,Annunciation,Artwork
41,6,2011,2023,257,269,S. Catherine,Artwork
41,7,2128,2145,84,101,S. Mary Magdalene,Artwork
41,7,2312,2320,268,276,Crucifix,Artwork
