doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,2,1049,1056,164,171,Madonna,Subject,Madonna
5,1,374,379,85,90,David,Subject,David
5,1,396,403,107,114,Goliath,Subject,Goliath
5,3,1157,1177,237,257,Nativity of Our Lady,Subject,Nativity of Our Lady
9,1,430,445,48,63,Cencio Guasconi,Subject,Cencio Guasconi
10,6,1756,1796,294,334,S. Augustine disputing with the heretics,Subject,S. Augustine
10,6,1814,1820,352,358,Christ,Subject,Christ
10,6,1825,1831,363,369,Saints,Subject,Saints
10,6,1814,1820,352,358,Christ,Subject,stories of Christ and Saints
10,6,1825,1831,363,369,Saints,Subject,stories of Christ and Saints
10,6,1814,1820,352,358,Christ,Subject,stories of Christ and Saints
10,6,1825,1831,363,369,Saints,Subject,stories of Christ and Saints
10,6,1814,1820,352,358,Christ,Subject,Christ
10,6,1825,1831,363,369,Saints,Subject,Saints
13,0,258,266,258,266,Our Lady,Subject,Our Lady
13,0,421,432,421,432,Holy Spirit,Subject,Holy Spirit
13,4,1273,1284,102,113,S. Margaret,Subject,S. Margaret
13,4,1311,1321,140,150,the Dragon,Subject,Dragon
14,1,636,644,255,263,S. Peter,Subject,S. Peter
14,1,646,656,265,275,S. Stephen,Subject,S. Stephen
14,1,662,681,281,300,S. John the Baptist,Subject,S. John the Baptist
14,2,838,849,132,143,Dead Christ,Subject,Dead Christ
14,2,851,859,145,153,Our Lady,Subject,Our Lady
14,2,861,868,155,162,S. John,Subject,S. John
14,2,870,883,164,177,the Magdalene,Subject,Magdalene
14,3,1119,1143,186,210,Nativity of Jesus Christ,Subject,Nativity of Jesus Christ
14,3,1149,1170,216,237,Adoration of the Magi,Subject,Adoration of the Magi
14,3,1176,1193,243,260,Flight into Egypt,Subject,Flight into Egypt
14,3,1203,1228,270,295,Massacre of the Innocents,Subject,Massacre of the Innocents
14,4,1465,1489,138,162,Nativity of Jesus Christ,Subject,Nativity of Jesus Christ
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Subject,Descent of the Holy Spirit upon the Apostles
