doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
13,0,258,266,258,266,Our Lady,Subject
13,0,421,432,421,432,Holy Spirit,Subject
13,1,583,594,125,136,S. Margaret,Subject
13,1,601,613,143,155,S. Catherine,Subject
13,1,658,666,200,208,S. Peter,Subject
13,1,671,693,213,235,S. John the Evangelist,Subject
13,1,741,751,283,293,S. Filippo,Subject
13,1,776,787,318,329,S. Antonino,Subject
13,2,839,848,26,35,landscape,Subject
13,2,893,898,80,85,trees,Subject
14,2,838,849,132,143,Dead Christ,Subject
14,2,851,859,145,153,Our Lady,Subject
14,2,861,868,155,162,S. John,Subject
14,2,874,883,168,177,Magdalene,Subject
14,3,1119,1143,186,210,Nativity of Jesus Christ,Subject
14,3,1149,1170,216,237,Adoration of the Magi,Subject
14,3,1176,1193,243,260,Flight into Egypt,Subject
14,3,1203,1228,270,295,Massacre of the Innocents,Subject
14,4,1465,1489,138,162,Nativity of Jesus Christ,Subject
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Subject
14,5,1927,1944,234,251,Life of Our Lady.,Subject
14,6,2044,2063,99,118,Christ on the Cross,Subject
14,6,2074,2080,129,135,Angels,Subject
14,6,2092,2100,147,155,Our Lady,Subject
14,6,2106,2113,161,168,S. John,Subject
14,6,2233,2253,288,308,S. James the Apostle,Subject
14,6,2258,2279,313,334,S. Alfonso the Bishop,Subject
15,0,23,33,23,33,Florentine,Subject
15,0,72,76,72,76,Rome,Subject
15,5,1429,1440,17,28,Dead Christ,Subject
15,5,1607,1612,195,200,Saint,Subject
15,6,1816,1822,202,208,Christ,Subject
15,6,1843,1848,229,234,Cross,Subject
15,6,1859,1866,245,252,Thieves,Subject
15,6,1899,1906,285,292,Madonna,Subject
15,7,2168,2181,153,166,men and women,Subject
16,1,1688,1710,555,577,Assumption of Our Lady,Subject
16,3,1963,1971,24,32,pictures,Subject
16,3,2403,2410,464,471,epitaph,Subject
18,3,1074,1082,38,46,children,Subject
18,3,1090,1095,54,59,women,Subject
18,3,1092,1095,56,59,men,Subject
18,3,1253,1258,217,222,nudes,Subject
18,6,1571,1578,60,67,reading,Subject
18,6,1583,1590,72,79,writing,Subject
19,2,755,773,84,102,Nativity of Christ,Subject
19,2,835,847,164,176,Annunciation,Subject
19,2,941,951,270,280,S. Filippo,Subject
20,4,1642,1655,301,314,Old Testament,Subject
29,0,243,249,243,249,Joseph,Subject
29,0,535,542,535,542,Pharaoh,Subject
