doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
45,4,888,894,127,133,Christ,Subject
45,4,899,907,138,146,Our Lady,Subject
45,4,939,953,178,192,God the Father,Subject
45,4,987,993,226,232,Saints,Subject
45,5,1109,1120,101,112,Dead Christ,Subject
45,5,1160,1182,152,174,Assumption of Our Lady,Subject
45,6,1402,1410,200,208,Our Lady,Subject
45,6,1420,1426,218,224,Saints,Subject
45,7,1544,1552,116,124,Our Lady,Subject
45,7,1554,1561,126,133,S. Anne,Subject
45,7,1644,1663,216,235,S. John the Baptist,Subject
45,7,1728,1740,300,312,Annunciation,Subject
45,8,1770,1778,28,36,S. Rocco,Subject
45,8,1812,1824,70,82,S. Sebastian,Subject
45,8,1843,1851,101,109,Our Lady,Subject
45,8,1996,2004,254,262,S. James,Subject
45,8,2023,2033,281,291,S. Martino,Subject
45,9,2101,2108,55,62,S. Anne,Subject
