doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
41,0,94,101,94,101,Madonna,Subject
41,0,481,491,481,491,God's poor,Subject
41,0,522,527,522,527,mercy,Subject
41,0,538,545,538,545,charity,Subject
41,2,822,856,148,182,Madonna with the Child in her arms,Subject
41,2,979,986,305,312,martyrs,Subject
41,5,1632,1661,55,84,martyrdom of those two Saints,Subject
41,6,1862,1874,108,120,Annunciation,Subject
41,6,2011,2023,257,269,S. Catherine,Subject
41,7,2128,2145,84,101,S. Mary Magdalene,Subject
41,7,2312,2320,268,276,Crucifix,Subject
