doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
14,0,244,260,244,260,Castel S. Angelo,Artwork,
15,6,1899,1917,285,303,Madonna in a swoon,Artwork,
17,0,49,59,49,59,S. Trinita,Artwork,
2,0,185,189,185,189,Life,Artwork,
24,3,1465,1478,74,87,Fra Giocondo.,Artwork,
28,2,1578,1627,347,396,altar-piece of the high-altar in S. Maria Novella,Artwork,
3,6,1795,1803,172,180,S. Maria,Artwork,
30,6,1621,1628,7,14,Trinità,Artwork,
37,0,182,195,182,195,marble shrine,Artwork,
38,0,372,387,372,387,Venetian Palma.,Artwork,
39,1,412,435,207,230,high-altar in the Duomo,Artwork,
39,6,1439,1457,58,76,two panel-pictures,Artwork,
39,6,1511,1520,130,139,the other,Artwork,
39,9,1912,1924,4,16,S. Francesco,Artwork,
40,0,318,329,318,329,S. Giovanni,Artwork,
43,6,1602,1614,43,55,S. Augustine,Artwork,
43,6,1619,1642,60,83,S. John the Evangelist.,Artwork,
45,8,1770,1778,28,36,S. Rocco,Artwork,
47,0,238,261,238,261,Chapel of the Guareschi,Artwork,
49,0,55,89,55,89,façade of the Fondaco de' Tedeschi,Artwork,
49,4,980,991,160,171,"""Ecce Homo""",Artwork,
49,6,1505,1524,254,273,S. John the Baptist,Artwork,
50,6,1597,1626,54,83,large figures of the Apostles,Artwork,
50,6,1656,1687,113,144,altar of the Chapel of the Pope,Artwork,
51,8,2666,2679,21,34,images of wax,Artwork,
53,9,2804,2832,101,129,two figures larger than life,Artwork,
