id,start_pos,end_pos,surface,type,value,is_nested
0,593,605,Duke Lorenzo,WORK,Q3937601,
0,610,623,Duke Giuliano,WORK,Q3937559,
0,1084,1094,S. Damiano,WORK,NIL,
0,1154,1163,S. Cosimo,WORK,NIL,
0,2038,2051,Duke Giuliano,WORK,Q3937559,
0,2056,2068,Duke Lorenzo,WORK,Q3937601,
0,2389,2394,works,WORK,300387357,
1,1725,1752,tomb of M. Raffaello Maffei,WORK,NIL,
5,601,606,David,WORK,Q735085,
5,810,815,David,WORK,NIL,
7,1941,1970,altar of S. Jacopo in Pistoia,WORK,Q3613122,
8,2007,2033,chapel in S. Maria Novella,WORK,Q2593098,
9,56,199,"copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,NIL,
9,139,199,"Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi",WORK,Q733662,1
10,1756,1796,S. Augustine disputing with the heretics,WORK,NIL,
13,1273,1321,S. Margaret issuing from the belly of the Dragon,WORK,NIL,
14,1927,1943,Life of Our Lady,WORK,NIL,
14,2044,2113,"Christ on the Cross with some Angels about Him, Our Lady, and S. John",WORK,NIL,
14,2233,2253,S. James the Apostle,WORK,NIL,
14,2258,2279,S. Alfonso the Bishop,WORK,NIL,
15,2437,2458,Signora Livia Colonna,WORK,NIL,
16,1417|1493,1461|1525,"Chapel of S. Lorenzo, in the Pieve of Empoli|scenes of the life of that Saint",WORK,NIL,
19,941,1006,"S. Filippo, the founder of that Servite Order, assuming the habit",WORK,Q4015931,
19,2514,2532,life of S. Filippo,WORK,NIL,
20,1627,1655,stories of the Old Testament,WORK,NIL,
27,2122,2130,Crucifix,WORK,NIL,
29,218,249,stories from the life of Joseph,WORK,Q3651297,
29,513,542,Joseph ministering to Pharaoh,WORK,Q3771677,
30,1693,1716,Coronation of Our  Lady,WORK,NIL,
35,71,76,Giant,WORK,Q179900,
37,257,304,"S. Lo, the Farrier, is shoeing a frenzied horse",WORK,Q3948822,
38,1427,1468,Magi presenting their offerings to Christ,WORK,NIL,
39,737,814,"S. Helena, the mother of the Emperor Constantine, in the finding of the Cross",WORK,NIL,
39,940,958,S. Maria Maddalena,WORK,NIL,
39,1165,1225,Christ appearing to Mary Magdalene in the form of a gardener,WORK,NIL,
39,1328,1351,Baptism of Jesus Christ,WORK,NIL,
39,1468,1502,that Saint consecrating the church,WORK,NIL,
39,1536,1580,"S. Cantius, S. Cantianus, and S. Cantianilla",WORK,NIL,
39,2178,2202,Madonna and many figures,WORK,NIL,
39,2415,2441,S. Laurence and S. Francis,WORK,Q17590,
41,942,955,S. Laurentino,WORK,NIL,
41,960,973,S. Pergentino,WORK,NIL,
41,2418,2440,stories of S. Nicholas,WORK,NIL,
43,153,194,panel for S. Giovanni in Monte at Bologna,WORK,Q1103801,
44,1611,1621,S. Stephen,WORK,NIL,
44,1625,1650,disputation of that Saint,WORK,NIL,
44,1737,1772,"S. Antonino, Archbishop of Florence",WORK,NIL,
44,1778,1799,S. Catharine of Siena,WORK,NIL,
45,888,918,Christ and Our Lady in the air,WORK,NIL,
45,1109,1137,Dead Christ with the  Maries,WORK,NIL,
45,1544,1584,"Our Lady, S. Anne, and many other Saints",WORK,NIL,
49,387,412,Our Lady going into Egypt,WORK,NIL,
49,1124,1189,"Our Lady with other figures the size of life, of men and children",WORK,NIL,
50,1403,1464,two scenes in silver for the ends of the altar of S. Giovanni,WORK,NIL,
50,1444,1464,altar of S. Giovanni,WORK,Q24933218,1
51,1745,1753,Crucifix,WORK, NIL,
53,1686,1714,stories of Moses and Pharaoh,WORK,NIL,
53,2028,2065,Angel slaying the first-born in Egypt,WORK,NIL,
