doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
47,3,1033,1053,17,37,the whole work curve,Artwork
47,3,1112,1152,96,136,"in it, with their pediments and cornices",Artwork
47,3,1167,1188,151,172,the space of the door,Artwork
47,3,1349,1387,333,371,which is a very difficult thing to do.,Artwork
47,4,1535,1543,147,155,carvings,Artwork
47,4,1559,1566,171,178,columns,Artwork
47,4,1568,1576,180,188,capitals,Artwork
47,4,1578,1585,190,197,foliage,Artwork
47,4,1587,1597,199,209,grotesques,Artwork
47,4,1606,1615,218,227,pilasters,Artwork
47,6,1893,1897,30,34,work,Artwork
