doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type
0,2,980,989,95,104,S. Cosimo,Artwork
0,2,996,1006,111,121,S. Damiano,Artwork
0,2,1049,1056,164,171,Madonna,Artwork
5,1,374,379,85,90,David,Artwork
5,3,1153,1177,233,257,the Nativity of Our Lady,Artwork
9,1,418,426,36,44,portrait,Artwork
10,6,1605,1615,143,153,high-altar,Artwork
10,6,1803,1810,341,348,stories,Artwork
13,0,81,86,81,86,panel,Artwork
14,1,636,644,255,263,S. Peter,Artwork
14,1,646,656,265,275,S. Stephen,Artwork
14,1,662,681,281,300,S. John the Baptist,Artwork
14,1,696,704,315,323,children,Artwork
14,2,838,883,132,177,"Dead Christ, Our Lady, S. John, the Magdalene",Artwork
14,3,1119,1143,186,210,Nativity of Jesus Christ,Artwork
14,3,1149,1170,216,237,Adoration of the Magi,Artwork
14,3,1176,1193,243,260,Flight into Egypt,Artwork
14,3,1203,1228,270,295,Massacre of the Innocents,Artwork
14,4,1465,1489,138,162,Nativity of Jesus Christ,Artwork
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Artwork
15,5,1429,1440,17,28,Dead Christ,Artwork
15,6,1799,1822,185,208,altar-picture of Christ,Artwork
16,1,1688,1710,555,577,Assumption of Our Lady,Artwork
16,2,1895,1905,155,165,S. Antonio,Artwork
16,3,2311,2331,372,392,head of Appius Cæcus,Artwork
17,0,131,138,131,138,S. Paul,Artwork
17,0,189,193,189,193,tomb,Artwork
19,2,755,773,84,102,Nativity of Christ,Artwork
19,2,835,847,164,176,Annunciation,Artwork
27,4,2045,2053,288,296,Crucifix,Artwork
29,1,688,732,97,141,God the Father supporting a Christ Crucified,Artwork
29,2,795,809,61,75,the Assumption,Artwork
30,4,1215,1253,168,206,the Apostles receiving the Holy Spirit,Artwork
30,4,1296,1408,249,361,"Christ—in one His taking Peter and Andrew from their nets, and in the other the Feast of Simon and the Magdalene",Artwork
30,4,1296,1408,249,361,"Christ—in one His taking Peter and Andrew from their nets, and in the other the Feast of Simon and the Magdalene",Artwork
30,4,1296,1408,249,361,"Christ—in one His taking Peter and Andrew from their nets, and in the other the Feast of Simon and the Magdalene",Artwork
30,5,1547,1558,63,74,Dead Christ,Artwork
31,2,639,651,197,209,Annunciation,Artwork
31,2,659,683,217,241,God the Father in Heaven,Artwork
35,0,43,48,43,48,Pietà,Artwork
36,2,697,706,39,48,S. Philip,Artwork
37,0,28,33,28,33,S. Lo,Artwork
39,1,472,481,267,276,Communion,Artwork
39,2,612,623,47,58,Dead Christ,Artwork
39,3,851,863,35,47,S. Sebastian,Artwork
39,5,1238,1246,83,91,S. Peter,Artwork
39,7,1706,1725,99,118,S. John the Baptist,Artwork
39,7,1731,1744,124,137,S. Sebastian.,Artwork
39,8,1839,1846,94,101,Madonna,Artwork
39,8,1866,1892,121,147,Virgin Martyr S. Catharine,Artwork
39,8,1897,1907,152,162,S. Jerome.,Artwork
39,9,1974,1986,66,78,S. Catharine,Artwork
39,9,2020,2028,112,120,Our Lady,Artwork
41,0,94,101,94,101,Madonna,Artwork
41,2,822,844,148,170,Madonna with the Child,Artwork
41,6,1862,1874,108,120,Annunciation,Artwork
41,6,2000,2023,246,269,picture of S. Catherine,Artwork
41,7,2128,2145,84,101,S. Mary Magdalene,Artwork
41,7,2312,2338,268,294,Crucifix with four figures,Artwork
44,5,1821,1846,20,45,altar-picture of S. Lucia,Artwork
45,5,1160,1182,152,174,Assumption of Our Lady,Artwork
45,6,1402,1427,200,225,Our Lady and some Saints.,Artwork
45,7,1631,1663,203,235,Beheading of S. John the Baptist,Artwork
45,7,1728,1740,300,312,Annunciation,Artwork
45,8,1812,1824,70,82,S. Sebastian,Artwork
45,8,1843,1851,101,109,Our Lady,Artwork
45,8,1996,2004,254,262,S. James,Artwork
45,9,2099,2108,53,62,a S. Anne,Artwork
49,4,981,990,161,170,Ecce Homo,Artwork
49,6,1405,1411,154,160,Tobias,Artwork
51,7,2339,2350,73,84,the Madonna,Artwork
53,3,1223,1238,180,195,Transfiguration,Artwork
53,3,1244,1271,201,228,Marriage of Cana in Galilee,Artwork
53,3,1281,1314,238,271,Centurion kneeling before Christ.,Artwork
53,9,2834,2841,131,138,Justice,Artwork
53,9,2846,2852,143,149,Equity,Artwork
