doc_id,sent_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,matched_sf
0,0,474,491,474,491,Madonna di Loreto,Artwork,Madonna di Loreto
0,2,980,989,95,104,S. Cosimo,Artwork,S. Cosimo
0,2,996,1006,111,121,S. Damiano,Artwork,S. Damiano
0,2,1049,1056,164,171,Madonna,Artwork,Madonna
1,6,1725,1775,174,224,"tomb of M. Raffaello Maffei, called Il  Volterrano",Artwork,tomb of M. Raffaello Maffei
5,1,374,379,85,90,David,Artwork,David who was holding Goliath
5,1,396,403,107,114,Goliath,Artwork,David who was holding Goliath
5,3,1157,1177,237,257,Nativity of Our Lady,Artwork,Nativity of Our Lady
7,7,1901,1909,119,127,prophets,Artwork,"two, half-length prophets"
8,6,1994,2033,177,216,painting the chapel in S. Maria Novella,Artwork,chapel in S. Maria Novella
9,0,68,75,68,75,picture,Artwork,"copy of the picture in which Raffaello da Urbino had formerly painted portraits of Pope Leo, Cardinal Giulio de' Medici, and Cardinal de' Rossi"
13,0,81,86,81,86,panel,Artwork,"panel in the Church of the Servite Friars|Our Lady standing, raised from the ground on a pedestal, and uplifting her head towards Heaven, with a book in her hand, but without her Son; and above her is the Holy Spirit, bathing her with light"
14,2,838,849,132,143,Dead Christ,Artwork,"Dead Christ, Our Lady, S. John, the Magdalene, and other figures"
14,3,1119,1143,186,210,Nativity of Jesus Christ,Artwork,Nativity of Jesus Christ
14,3,1149,1170,216,237,Adoration of the Magi,Artwork,Adoration of the Magi
14,3,1176,1193,243,260,Flight into Egypt,Artwork,Flight into Egypt
14,3,1203,1228,270,295,Massacre of the Innocents,Artwork,Massacre of the Innocents
14,4,1465,1489,138,162,Nativity of Jesus Christ,Artwork,Nativity of Jesus Christ
14,4,1616,1660,289,333,Descent of the Holy Spirit upon the Apostles,Artwork,Descent of the Holy Spirit upon the Apostles
14,6,1953,1992,8,47,high-altar of S. Jacopo degli Spagnuoli,Artwork,high-altar of S. Jacopo degli Spagnuoli
15,5,1429,1458,17,46,Dead Christ in an altar-piece,Artwork,Dead Christ
15,6,1799,1822,185,208,altar-picture of Christ,Artwork,Christ taken down from the Cross
16,1,1688,1710,555,577,Assumption of Our Lady,Artwork,Assumption of Our Lady
16,2,1892,1905,152,165,of S. Antonio,Artwork,S. Antonio
16,3,2311,2331,372,392,head of Appius Cæcus,Artwork,head of Appius Cæcus
17,0,26,45,26,45,Chapel of the Scali,Artwork,Chapel of the Scali
17,0,109,138,109,138,one of the stories of S. Paul,Artwork,stories of S. Paul
19,2,755,773,84,102,Nativity of Christ,Artwork,Nativity of Christ
19,2,835,847,164,176,Annunciation,Artwork,Annunciation
19,2,941,951,270,280,S. Filippo,Artwork,"S. Filippo, the founder of that Servite Order, assuming the habit"
27,4,2045,2053,288,296,Crucifix,Artwork,Crucifix
29,1,664,675,73,84,the Trinity,Artwork,Trinity|God the Father supporting a Christ Crucified
29,1,688,733,97,142,God the Father supporting a Christ Crucified.,Artwork,Trinity|God the Father supporting a Christ Crucified
29,2,799,809,65,75,Assumption,Artwork,Assumption
30,4,1219,1253,172,206,Apostles receiving the Holy Spirit,Artwork,Apostles receiving the Holy Spirit
30,5,1547,1558,63,74,Dead Christ,Artwork,Dead Christ
31,2,639,651,197,209,Annunciation,Artwork,Annunciation
31,2,659,673,217,231,God the Father,Artwork,God the Father in Heaven
35,0,43,48,43,48,Pietà,Artwork,Pietà
35,0,71,76,71,76,Giant,Artwork,Giant
36,2,697,706,39,48,S. Philip,Artwork,S. Philip
37,0,24,33,24,33,the S. Lo,Artwork,S. Lo
38,5,1423,1431,69,77,the Magi,Artwork,Magi presenting their offerings to Christ
39,1,472,481,267,276,Communion,Artwork,Christ giving the Communion to the Apostles
39,2,612,623,47,58,Dead Christ,Artwork,Dead Christ
39,3,851,863,35,47,S. Sebastian,Artwork,S. Sebastian
39,5,1328,1352,173,197,Baptism of Jesus Christ;,Artwork,Baptism of Jesus Christ
39,7,1706,1725,99,118,S. John the Baptist,Artwork,S. John the Baptist
39,7,1731,1744,124,137,S. Sebastian.,Artwork,S. Sebastian
39,8,1839,1846,94,101,Madonna,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1866,1892,121,147,Virgin Martyr S. Catharine,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,8,1897,1906,152,161,S. Jerome,Artwork,Madonna placed between the Virgin Martyr S. Catharine and S. Jerome
39,9,1974,1986,66,78,S. Catharine,Artwork,S. Catharine and S. Francis
39,9,1991,2001,83,93,S. Francis,Artwork,S. Catharine and S. Francis
39,9,2020,2085,112,177,"Our Lady with S. James the Apostle, S. Francis, and many figures.",Artwork,"Our Lady with S. James the Apostle, S. Francis, and many figures"
39,10,2178,2185,92,99,Madonna,Artwork,Madonna and many figures
41,2,822,856,148,182,Madonna with the Child in her arms,Artwork,"Madonna with the Child in her arms, with some angels who are opening her mantle"
41,2,942,955,268,281,S. Laurentino,Artwork,S. Laurentino
41,2,960,973,286,299,S. Pergentino,Artwork,S. Pergentino
41,6,1862,1874,108,120,Annunciation,Artwork,Annunciation
