id,start_pos,end_pos,surface,type,value,is_nested
0,233,245,Michelagnolo,PER,Q5592,
0,532,537,Frate,PER,Q27040,
0,996,1006,S. Damiano,PER,Q11841130,
0,1084,1094,S. Damiano,PER,Q11841130,
0,2092,2096,Pope,PER,Q83159,
1,1761,1775,Il  Volterrano,PER,Q3417362,
2,399,412,three Consuls,ORG,Q736727,
2,512,521,Consulate,LOC,Q736727,
2,527,540,Customs-house,LOC,Q218653,
3,529,536,Pistola,LOC,NIL,
3,704,708,Nine,ORG,Q736727,
3,983,988,State,ORG,Q736727,
3,1795,1803,S. Maria,LOC,Q10924,
4,749,755,Medici,ORG,Q170022,
4,1377,1383,Medici,ORG,Q170022,
5,335,339,Pope,PER,Q49237,
5,555,561,Medici,ORG,Q170022,1
5,713,720,Signori,ORG,Q3393334,
5,726,730,Pope,PER,Q49237,
5,1058,1062,Pope,PER,Q495011,
5,1169,1177,Our Lady,PER,Q345,1
6,1215,1222,Rabatta,LOC,NIL,1
6,1313,1319,Heaven,LOC,Q4489450,
6,1639,1645,Heaven,LOC,Q4489450,
6,2004,2010,Heaven,LOC,Q4489450,
7,424,429,Spini,ORG,NIL,
7,2046,2062,Wardens of Works,ORG,NIL,
8,11,28,siege of Florence,MISC,Q981042,
8,730,736,Medici,ORG,Q170022,1
9,181,199,Cardinal de' Rossi,PER,Q733662,
9,217,235,Cardinal de' Rossi,PER,Q733662,
9,517,539,villa of Baccio Valori,LOC,31A221(+81),
10,1036,1041,Siren,PER,Q150986,
10,1145,1151,Sebeto,LOC,Q3953836,
10,1257,1263,Heaven,LOC,Q4489450,
10,1825,1831,Saints,PER,Q43115,
11,80,87,Matrice,LOC,Q223427,1
11,1498,1513,Lord of Matrice,PER,NIL,
13,108,122,Servite Friars,ORG,Q615923,1
13,145,152,Tedaldi,ORG,NIL,1
13,231,236,Order,ORG,Q615923,
13,346,352,Heaven,LOC,Q4489450,
13,395,398,Son,PER,Q302,
13,757,764,Servite,ORG,Q615923,1
13,789,799,Archbishop,PER,Q49476,1
13,1877,1883,Nature,LOC,Q7860,
13,2259,2266,Provost,PER,Q756215,1
14,1131,1143,Jesus Christ,PER,Q302,1
14,1166,1170,Magi,PER,Q51671,1
14,1188,1193,Egypt,LOC,Q79,1
14,1477,1489,Jesus Christ,PER,Q302,1
14,1652,1660,Apostles,PER,Q4155679,1
14,1763,1776,German colony,ORG,NIL,
14,1830,1843,Fugger family,ORG,Q155834,1
14,1935,1943,Our Lady,PER,Q345,
14,2074,2080,Angels,PER,Q235113,
15,590,598,Pontiffs,PER,Q19546,
15,729,734,Court,PER,Q1510907,
15,801,808,Colonna,ORG,Q327202,
15,820,826,Orsini,ORG,Q855303,
15,876,883,Bishops,PER,Q29182,
15,1550,1560,S. Dionigi,PER,Q244380,1
15,1607,1612,Saint,PER,Q244380,
15,1751,1789,Florentine Company of the Misericordia,ORG,Q3859014,
15,1843,1848,Cross,MISC,Q302,
16,816,837,Santo Stefano a Ponte,LOC,Q3674332,1
16,1427,1437,S. Lorenzo,PER,Q17590,1
16,1702,1710,Our Lady,PER,Q345,1
16,1895,1905,S. Antonio,PER,Q170547,
16,2489,2498,Lord Duke,PER,Q48547,
17,40,45,Scali,ORG,Q7429770,1
19,35,55,Convent of the Servi,LOC,Q2287001,
19,50,55,Servi,ORG,Q615923,1
19,124,141,Canto alla Macine,LOC,NIL,1
19,767,773,Christ,PER,Q302,1
19,803,808,Servi,ORG,Q615923,1
20,564,584,Borgo a San Sepolcro,LOC,Q52098,1
20,601,616,Duke of Ferrara,PER,Q62023660,
20,850,857,Ferrara,PER,Q13362,
20,1227,1243,Dominican friars,ORG,Q131479,
20,1424,1436,Black Friars,ORG,Q131479,1
22,669,683,ancient Romans,PER,Q1651392,
22,1029,1036,Princes,PER,Q2747456,
23,2151,2158,Fortune,MISC,Q1970348,
24,499,503,Time,MISC,Q11471,
25,869,876,Signori,ORG,Q3477879,
25,1211,1218,Signori,ORG,Q3477879,
27,59,65,Bishop,PER,Q29182,
27,70,84,Lord of Arezzo,PER,NIL,
27,167,174,Emperor,PER,Q39018,
27,342,348,Bishop,PER,Q378128,
27,522,538,Ghibelline party,ORG,Q1010181,
27,1450,1470,Commissary of Arezzo,PER,NIL,
27,1878,1885,Fathers,PER,Q548320,
27,1968,1972,Pisa,LOC,Q13375,1
27,1979,1986,General,PER,Q1337239,
27,1994,2019,Congregation of Camaldoli,ORG,Q591832,
27,2247,2255,Superior,PER,Q1337239,
