doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,225,245,0,225,245,Life of Michelagnolo,MISC,0.8048196
0,474,481,0,474,481,Madonna,MISC,0.34202534
0,532,535,1,39,42,Fra,PER,0.44200343
0,980,982,2,95,97,S.,LOC,0.6958857
0,996,1006,2,111,121,S. Damiano,LOC,0.69960743
0,1084,1094,2,199,209,S. Damiano,LOC,0.8700284
1,1761,1775,6,210,224,Il Volterrano,LOC,0.9781389
2,512,515,1,282,285,Con,LOC,0.6495266
2,519,521,1,289,291,##te,LOC,0.5247819
2,527,540,1,297,310,Customs - house,LOC,0.6882887
3,529,536,1,168,175,Pistola,MISC,0.80972075
3,983,988,3,178,183,State,LOC,0.6367757
3,1795,1803,6,172,180,S. Maria,PER,0.7515447
4,708,727,2,11,30,Magnificent Lorenzo,PER,0.5330445
4,749,755,2,52,58,Medici,PER,0.931546
4,1047,1050,3,74,77,Mag,PER,0.50815177
4,1772,1782,5,116,126,Florentine,MISC,0.7470568
5,555,561,1,266,272,Medici,PER,0.9101209
5,607,609,1,318,320,of,LOC,0.55099964
5,713,720,1,424,431,Signori,PER,0.7952205
5,847,853,2,125,131,Andrea,PER,0.54013973
6,1313,1319,2,562,568,Heaven,PER,0.5394616
6,1947,1953,3,312,318,Tuscan,LOC,0.7425477
6,2004,2010,4,0,6,Heaven,PER,0.6231183
7,338,349,1,8,19,Brunellesco,PER,0.85161227
7,424,429,1,94,99,Spini,PER,0.76741314
7,2046,2053,7,264,271,Wardens,MISC,0.544312
7,2054,2062,7,272,280,of Works,LOC,0.4927988
8,730,736,2,82,88,Medici,PER,0.93214184
9,190,199,0,190,199,de'Rossi,PER,0.8570113
9,226,235,0,226,235,de'Rossi,PER,0.85543805
10,1036,1041,4,156,161,Siren,MISC,0.4352977
10,1145,1151,4,265,271,Sebeto,PER,0.93149036
10,1257,1263,4,377,383,Heaven,PER,0.29380086
10,1825,1831,6,363,369,Saints,MISC,0.5150875
11,69,87,0,69,87,Cola dalla Matrice,PER,0.8740302
12,599,604,2,0,5,Piero,PER,0.99503607
13,231,236,0,231,236,Order,MISC,0.41693628
13,346,352,0,346,352,Heaven,MISC,0.46351564
13,395,398,0,395,398,Son,MISC,0.43414634
13,421,425,0,421,425,Holy,MISC,0.66605794
13,1877,1883,5,341,347,Nature,PER,0.5133249
14,181,189,0,181,189,del Vaga,MISC,0.56317586
14,1566,1602,4,239,275,Sacristy of the Church of S. Spirito,MISC,0.97132605
14,1763,1769,5,70,76,German,MISC,0.5048333
14,1927,1943,5,234,250,Life of Our Lady,MISC,0.9500198
14,1970,1992,6,25,47,Jacopo degli Spagnuoli,PER,0.6267385
14,2074,2080,6,129,135,Angels,MISC,0.5282714
14,2087,2090,6,142,145,Him,MISC,0.4725463
15,23,31,0,23,31,Florenti,MISC,0.54680955
15,729,734,2,264,269,Court,LOC,0.37131605
15,801,808,2,336,343,Colonna,PER,0.9384776
15,820,826,2,355,361,Orsini,PER,0.90427953
15,1289,1290,3,146,147,I,PER,0.5190022
15,1751,1789,6,137,175,Florentine Company of the Misericordia,LOC,0.6049799
15,1843,1848,6,229,234,Cross,PER,0.47950488
16,832,837,0,832,837,Ponte,PER,0.49027824
16,1895,1905,2,155,165,S. Antonio,LOC,0.8091748
17,131,133,0,131,133,S,LOC,0.45515206
18,21,26,0,21,26,Lives,MISC,0.4207828
19,35,55,0,35,55,Convent of the Servi,MISC,0.8766125
19,384,390,1,93,99,Andrea,PER,0.9974579
19,1718,1729,6,247,258,Florentines,PER,0.3970658
20,850,857,1,361,368,Ferrara,LOC,0.9994035
20,1227,1236,3,65,74,Dominican,MISC,0.8603063
20,1424,1436,4,83,95,Black Friars,LOC,0.8323995
22,187,194,0,187,194,Fortune,PER,0.39056343
22,677,683,2,51,57,Romans,MISC,0.8240623
22,854,859,2,228,233,Roman,MISC,0.7762603
22,1066,1076,3,101,111,Florentine,MISC,0.59292716
22,1142,1153,3,177,188,Life of him,MISC,0.81898755
23,2151,2158,3,527,534,Fortune,PER,0.6263159
24,499,503,0,499,503,Time,PER,0.8108397
24,816,822,1,200,206,Verona,LOC,0.6640955
24,1848,1853,6,138,143,Greek,MISC,0.5564095
25,169,177,0,169,177,Venetian,MISC,0.72281474
25,869,876,3,46,53,Signori,PER,0.58388776
25,1211,1218,4,80,87,Signori,PER,0.6180074
25,2143,2151,6,106,114,Venetian,MISC,0.646842
27,522,532,0,522,532,Ghibelline,PER,0.7459563
28,179,185,0,179,185,Heaven,PER,0.60169935
29,668,675,1,77,84,Trinity,PER,0.5907053
29,833,839,2,99,105,Angels,MISC,0.39134073
30,615,624,1,366,375,Christian,MISC,0.9197657
30,1242,1246,4,195,199,Holy,MISC,0.7481041
30,1310,1313,4,263,266,His,PER,0.5122738
30,1376,1408,4,329,361,Feast of Simon and the Magdalene,MISC,0.95042586
31,659,683,2,217,241,God the Father in Heaven,MISC,0.79473865
31,1278,1283,4,158,163,Roman,MISC,0.5129243
32,2335,2342,6,59,66,Alberti,PER,0.98321635
33,131,150,0,131,150,Church of the Servi,LOC,0.9921268
33,2676,2684,8,44,52,Florenti,MISC,0.33001348
33,2802,2807,8,170,175,Luchi,PER,0.6090015
34,531,537,0,531,537,Heaven,MISC,0.69304264
34,1869,1875,2,131,137,Tuscan,MISC,0.45379156
34,2054,2059,2,316,321,Italy,LOC,0.99861836
34,2531,2538,3,263,270,Canossa,LOC,0.8787635
34,2692,2700,4,152,160,Stigmata,LOC,0.8081667
34,3323,3327,5,30,34,Pode,PER,0.39223891
35,71,76,0,71,76,Giant,MISC,0.46335158
35,1250,1258,4,222,230,Florence,LOC,0.9996258
