doc_id,doc_start_pos,doc_end_pos,sentence_id,sent_start_pos,sent_end_pos,surface,type,score
0,14,21,0,14,21,Clement,PER,0.9560541
0,46,56,0,46,56,Buonarroti,PER,0.9867216
0,74,82,0,74,82,Florence,LOC,0.9991592
0,134,144,0,134,144,S. Lorenzo,LOC,0.7883095
0,225,245,0,225,245,Life of Michelagnolo,MISC,0.8048196
0,346,365,0,346,365,Fra Giovanni Agnolo,PER,0.9722212
0,417,437,0,417,437,Antonio da San Gallo,PER,0.9970949
0,474,481,0,474,481,Madonna,MISC,0.34202534
0,482,491,0,482,491,di Loreto,LOC,0.65943867
0,532,535,1,39,42,Fra,PER,0.44200343
0,541,549,1,48,56,Florence,LOC,0.99898916
0,551,563,1,58,70,Michelagnolo,PER,0.99228644
0,598,605,1,105,112,Lorenzo,PER,0.83237934
0,615,623,1,122,130,Giuliano,PER,0.8226756
0,638,643,1,145,150,Frate,PER,0.492118
0,737,756,1,244,263,Fra Giovanni Agnolo,PER,0.95014083
0,980,982,2,95,97,S.,LOC,0.6958857
0,983,989,2,98,104,Cosimo,PER,0.40664798
0,996,1006,2,111,121,S. Damiano,LOC,0.69960743
0,1049,1056,2,164,171,Madonna,PER,0.82911867
0,1062,1074,2,177,189,Michelagnolo,PER,0.9862001
0,1084,1094,2,199,209,S. Damiano,LOC,0.8700284
0,1098,1120,2,213,235,Raffaello da Montelupo,PER,0.98578984
0,1144,1149,2,259,264,Frate,PER,0.68684995
0,1154,1163,2,269,278,S. Cosimo,PER,0.61581296
0,1347,1352,3,71,76,Frate,PER,0.5215299
0,1410,1420,3,134,144,Buonarroti,PER,0.9906919
0,1444,1456,3,168,180,Michelagnolo,PER,0.98944855
0,1528,1534,3,252,258,Arezzo,LOC,0.9981799
0,1544,1550,3,268,274,Vasari,PER,0.99697304
0,1663,1675,4,55,67,Michelagnolo,PER,0.9744372
0,1845,1857,4,237,249,Michelagnolo,PER,0.98024774
0,1901,1906,4,293,298,Frate,PER,0.4322461
0,1929,1941,5,5,17,Michelagnolo,PER,0.9867933
0,1966,1985,5,42,61,Fra Giovanni Agnolo,PER,0.98937476
0,2043,2051,5,119,127,Giuliano,PER,0.9073421
0,2061,2068,5,137,144,Lorenzo,PER,0.91654795
0,2180,2190,5,256,266,S. Lorenzo,LOC,0.9829543
0,2203,2207,5,279,283,Rome,LOC,0.9982564
0,2259,2266,5,335,342,Clement,PER,0.9337747
0,2309,2317,6,3,11,Florence,LOC,0.9993399
0,2336,2341,6,30,35,Frate,PER,0.59895015
0,2530,2542,6,224,236,Michelagnolo,PER,0.9934189
0,2610,2629,6,304,323,Fra Giovanni Agnolo,PER,0.9826374
1,7,23,0,7,23,Michele d'Agnolo,PER,0.99414825
1,27,37,0,27,37,Poggibonzi,LOC,0.9874426
1,57,67,0,57,67,Montorsoli,LOC,0.9953573
1,103,111,0,103,111,Florence,LOC,0.99979883
1,127,134,0,127,134,Bologna,LOC,0.99977225
1,244,250,0,244,250,Agnolo,PER,0.98076993
1,474,481,1,222,229,Fiesole,LOC,0.9923732
1,502,512,1,250,260,Montorsoli,LOC,0.98769593
1,514,520,2,0,6,Agnolo,PER,0.82396364
1,586,605,2,72,91,Francesco del Tadda,PER,0.99988496
1,822,841,3,48,67,Francesco del Tadda,PER,0.99971884
1,847,861,3,73,87,Maestro Andrea,PER,0.9000076
1,877,884,3,103,110,Fiesole,LOC,0.99346775
1,1081,1088,4,29,36,Michele,PER,0.99942833
1,1101,1107,4,49,55,Agnolo,PER,0.9448805
1,1162,1166,4,110,114,Rome,LOC,0.9996655
1,1218,1227,4,166,175,S. Pietro,LOC,0.97636396
1,1410,1414,5,26,30,Rome,LOC,0.999818
1,1453,1460,5,69,76,Perugia,LOC,0.99983084
1,1584,1591,6,33,40,Perugia,LOC,0.9991652
1,1736,1752,6,185,201,Raffaello Maffei,PER,0.95456415
1,1761,1775,6,210,224,Il Volterrano,LOC,0.9781389
