doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,1049,1056,164,171,Madonna,PER,"['person', 'object', 'art', 'creation', 'female', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
14,662,681,281,300,S. John the Baptist,PER,"['person', 'object', 'art', 'religious leader', 'artwork', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'spiritual leader', 'statue', 'organism', 'deity']"
14,861,868,155,162,S. John,PER,"['person', 'object', 'religious leader', 'action figure', 'character', 'figure', 'idol', 'painter', 'public figure', 'representation', 'saint', 'servant', 'spiritual leader', 'statue', 'holy cross', 'stick figure', 'organism', 'deity']"
14,1176,1193,243,260,Flight into Egypt,MISC,"['object', 'event', 'art', 'artwork', 'flight', 'narrative', 'painting', 'story', 'action painting']"
14,1927,1943,234,250,Life of Our Lady,MISC,"['person', 'art', 'picture', 'story', 'life history', 'life story']"
14,2233,2253,288,308,S. James the Apostle,PER,"['person', 'action figure', 'character', 'figure', 'idol', 'painter', 'painting', 'public figure', 'statue', 'stick figure']"
14,2258,2279,313,334,S. Alfonso the Bishop,PER,"['person', 'art', 'religious leader', 'action figure', 'bishop', 'character', 'figure', 'painter', 'painting', 'public figure', 'stick figure']"
16,1895,1905,155,165,S. Antonio,LOC,"['person', 'art', 'artist', 'religious leader', 'art historian', 'artwork', 'church', 'creator', 'master', 'painter', 'painting', 'spiritual leader', 'organism']"
19,2522,2532,118,128,S. Filippo,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'male', 'master', 'painter', 'painting', 'priest', 'professional', 'saint', 'visual artist']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
39,1839,1846,94,101,Madonna,PER,"['person', 'object', 'art', 'artwork', 'body', 'female', 'idol', 'representation']"
45,1109,1120,101,112,Dead Christ,MISC,"['person', 'object', 'religious leader', 'body', 'character', 'death', 'figure', 'idol', 'landmark', 'pope', 'public figure', 'representation', 'spiritual leader', 'statue', 'dead', 'dead man', 'father figure', 'holy cross', 'deity']"
45,1728,1740,300,312,Annunciation,MISC,"['object', 'art', 'artwork', 'landmark', 'representation', 'holy cross', 'artifact']"
45,1843,1851,101,109,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'female', 'idol', 'painter', 'painting']"
45,1968,1976,226,234,Our Lady,PER,"['person', 'object', 'art', 'artwork', 'character', 'painter', 'painting']"
45,1996,2004,254,262,S. James,PER,"['person', 'object', 'artist', 'artwork', 'character', 'creator', 'figure', 'idol', 'painter', 'painting', 'public figure']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
53,2846,2852,143,149,Equity,MISC,"['person', 'object', 'character', 'concept', 'figure', 'idea', 'point', 'representation', 'concept art', 'fairness', 'moral', 'stick figure']"
