doc_id,doc_start_pos,doc_end_pos,sent_start_pos,sent_end_pos,surface,type,labels
0,1049,1056,164,171,Madonna,PER,"['person', 'object', 'art', 'creation', 'female', 'figure', 'idol', 'statue', 'stick figure', 'deity']"
2,185,189,185,189,Life,MISC,"['object', 'art', 'writing', 'art form', 'artwork', 'book', 'creation', 'history', 'publication', 'script', 'sculptor', 'story', 'art history', 'feature story', 'life history', 'life story']"
5,601,606,312,317,David,PER,"['person', 'object', 'character', 'figure', 'idol', 'representation', 'sculpture', 'statue', 'stick figure', 'deity', 'artifact']"
10,769,784,29,44,Marco Calavrese,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'maker', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist', 'entertainer']"
14,244,260,244,260,Castel S. Angelo,LOC,"['place', 'art', 'building', 'structure', 'art form', 'art historian', 'artwork', 'creation', 'creator']"
14,552,571,171,190,Badia of S. Stefano,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'home', 'house', 'museum', 'place name', 'space', 'temple', 'villa', 'museum piece', 'space group']"
14,662,681,281,300,S. John the Baptist,PER,"['person', 'object', 'art', 'religious leader', 'artwork', 'character', 'idol', 'painter', 'painting', 'public figure', 'saint', 'spiritual leader', 'statue', 'organism', 'deity']"
14,1176,1193,243,260,Flight into Egypt,MISC,"['object', 'event', 'art', 'artwork', 'flight', 'narrative', 'painting', 'story', 'action painting']"
18,21,26,21,26,Lives,MISC,"['person', 'art', 'artist', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'history', 'master', 'painter', 'painting', 'profession', 'traditional art', 'art history', 'master class']"
18,166,182,166,182,Andrea del Sarto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
18,338,344,338,344,Andrea,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'man', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
19,2522,2532,118,128,S. Filippo,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'film maker', 'male', 'master', 'painter', 'painting', 'priest', 'professional', 'saint', 'visual artist']"
20,740,745,251,256,Piero,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
24,680,721,64,105,Lives of the Painters and other Craftsmen,MISC,"['object', 'art', 'writing', 'art collection', 'art form', 'art historian', 'article', 'art journal', 'biography', 'book', 'diary', 'history', 'piece', 'publication', 'record', 'script', 'story', 'art history', 'culture medium', 'life history', 'life story', 'public record']"
26,263,269,263,269,Giotto,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'master', 'painter', 'painting', 'professional', 'visual artist', 'craftsman']"
27,2045,2053,288,296,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
27,2122,2130,365,373,Crucifix,MISC,"['object', 'art', 'artwork', 'creation', 'representation', 'holy cross', 'artifact']"
30,1621,1628,7,14,Trinità,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art school', 'artwork', 'church', 'city state', 'home', 'lady', 'landmark', 'main building', 'municipality', 'museum', 'place name', 'shrine', 'space', 'address space', 'museum piece', 'space group', 'artifact']"
39,1610,1623,3,16,S. Apollinare,LOC,"['location', 'object', 'place', 'art', 'building', 'city', 'structure', 'area', 'art collection', 'art gallery', 'art historian', 'art school', 'artwork', 'church', 'city state', 'gallery', 'home', 'municipality', 'museum', 'place name', 'record', 'space', 'art history', 'art house', 'display case', 'museum piece', 'space environment', 'space group']"
45,1728,1740,300,312,Annunciation,MISC,"['object', 'art', 'artwork', 'landmark', 'representation', 'holy cross', 'artifact']"
49,1386,1399,135,148,Angel Raphael,PER,"['person', 'object', 'art', 'artist', 'artwork', 'character', 'creation', 'idol', 'painter', 'painting', 'representation', 'visual artist']"
49,1699,1719,448,468,Fondaco de'Tedeschi,LOC,"['person', 'art', 'artist', 'art form', 'art historian', 'artwork', 'creation', 'creator', 'painter', 'painting', 'visual artist']"
50,1014,1032,119,137,S. Maria del Fiore,LOC,"['location', 'place', 'art', 'building', 'city', 'art collection', 'art gallery', 'art historian', 'art school', 'home', 'museum', 'space', 'art house', 'museum piece', 'artifact']"
51,1745,1753,433,441,Crucifix,LOC,"['person', 'object', 'art', 'artwork', 'representation', 'holy cross', 'artifact']"
53,749,759,94,104,Santi Titi,PER,"['person', 'art', 'artist', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,942,944,287,289,Sc,LOC,"['person', 'actor', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'male', 'master', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
53,1223,1238,180,195,Transfiguration,MISC,"['object', 'event', 'art', 'artwork', 'miracle', 'narrative', 'painting', 'story', 'transformation', 'action painting', 'life story']"
53,1370,1388,55,73,Orazio Sammacchini,PER,"['person', 'art', 'artist', 'musician', 'adult', 'art form', 'art historian', 'art student', 'artwork', 'creator', 'maker', 'male', 'master', 'paint', 'painter', 'painting', 'performer', 'professional', 'visual artist']"
